target_uri,disposition,evidence,rationale
http://opendata.inra.fr/EOL/EOL_0000115,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
http://opendata.inra.fr/EOL/EOL_0000116,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://feedipedia.org/node/653,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/content/feeds?category=13587,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/content/feeds?category=13593,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/content/feeds?category=13598,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/content/feeds?category=13602,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/content/feeds?category=13603,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/content/feeds?category=15965,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11512,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11513,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11521,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11522,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11523,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11528,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11534,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11538,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11539,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11540,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11544,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11551,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11555,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11559,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11569,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11570,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11574,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11582,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11585,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11591,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11594,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11595,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11599,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11604,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11613,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11617,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11618,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11632,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11637,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11643,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11644,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11645,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11646,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11650,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11653,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11655,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11662,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11668,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11673,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11678,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11680,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11683,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11685,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11688,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11690,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11692,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11693,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11697,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11704,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11705,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11706,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11707,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11725,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11744,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11745,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11772,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11774,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11775,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11793,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11794,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11795,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11815,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11821,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11824,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11829,approved_label_available,review/livestock-v9/feedipedia_definition_evidence.csv;data/livestock-staging/approved_external_resource_labels.csv,Feedipedia page heading is frozen and published as external-resource label.
https://www.feedipedia.org/node/11830,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
https://www.feedipedia.org/node/11836,held_label_not_cached,data/livestock-staging/mappings.csv,Mapping remains visible by URI; page heading awaits frozen retrieval evidence.
