issue_id,source_sheet,source_row,source_id,source_label,issue_type,field,current_value,severity,recommended_action,status,rationale,guided_action_class,guided_action,guided_status,source_edit_required,approval_status
SQ-0001,prac,2,prac:a1,Farmer Managed Natural Regeneration,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0002,prac,7,prac:a8,Parklands,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0003,prac,8,prac:a8.1,Scattered Trees,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0004,prac,9,prac:a9,Tree Windbreak,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0005,prac,10,prac:a10,Living Fences or Hedgerows,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0006,prac,11,prac:a11,Silvopasture,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0007,prac,12,prac:a22,Agrosilvopastoral System,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0008,prac,13,prac:a12,Multistrata Agroforestry,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0009,prac,38,prac:d22.1,Chemically Processed Feed,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0010,prac,39,prac:d22.2,Mechanically Processed Feed,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
