artifact_path,artifact_role,artifact_class,sha256,legacy_concept_ids_present,target_properties_present,current_effect
data/livestock-staging/concepts.csv,governed-concept-state,source,71cf40d905a04a13c52a64a80de7c722b2d06b84d4eede928ace1b7a5fab486b,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,,marks all five deprecated
data/livestock-staging/relations.csv,governed-browse-hierarchy,source,c2d3b09b5fad5b233ab770ecd82f59b3cbb03956005831ebfb2d44f53fe4fbeb,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,,still places all five directly beneath Feed materials
data/livestock-staging/approved_concept_retirements.csv,retirement-decision,governance,97adfeac0b79e5a283d7e317a2c92e567d1204b80062638cdce5e62d04e19134,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,ingredientName;sourceTaxon,approves retirement without replacement concepts
data/livestock-staging/approved_semantic_bindings.csv,legacy-to-schema-contract,governance,8c513391dd3ede44b45e1aa2edcbc6d76b8f1109d898fe3bbf0ef65fee15dd39,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,ingredientName;ingredientProportion;ingredientSource;legacyComponentDescriptor;sourceTaxon,binds all five to properties or quantified component representation
schemas/owl/aom-semantic-model.ttl,formal-schema,source,f02ee61cd4b1d0b106b5c903bc80727d164bb47d11c643e881e11b9eb134e95e,,ingredientName;ingredientProportion;ingredientSource;legacyComponentDescriptor;sourceTaxon,defines replacement properties; four current domain choices require review
scripts/normalize_livestock_release.py,livestock-normalizer,generator,20715960166845c1fee9a443f656481f58628c4a64103b122b6fea1166327907,,,applies custom status and retirement but retains derived broader edges and omits owl:deprecated
dist/livestock-staging/aom-livestock.ttl,staging-browser-graph,generated,a85bcdfbad57f3f975a3feb5af9edf48428578b24a760b2b25993258f53158a2,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,,publishes custom deprecated status plus Feed-material broader edges
dist/releases/2026.1-rc.1/aom-livestock.ttl,canonical-browser-graph,generated,5ff5555cc99916944509f1e0c617133753d4fca0a043047ae018dcf44ed947b4,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,,deploys custom deprecated status plus Feed-material broader edges
dist/releases/2026.1-rc.1/aom-livestock.jsonld,canonical-jsonld,generated,373344cd31ac49a16a2dc9025478215cd442ed303392f918cd53c2d65d288f09,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,,deploys same lifecycle and hierarchy semantics as Turtle
dist/releases/2026.1-rc.1/aom-semantic-bindings.ttl,canonical-binding-graph,generated,2dbac47f3ccea83bd6ff3265c03545902f407b660bc47d45a59b72ef181a7300,AOM_000531;AOM_000532;AOM_000533;AOM_000534;AOM_000535,ingredientName;ingredientProportion;ingredientSource;legacyComponentDescriptor;sourceTaxon,publishes machine-readable migration bindings
config/skosmos/era-aom.ttl,local-browser-configuration,deployment,347f46c5f53c8e3f86dfe81bc11f70f5a595353981fce8fd76aea390efa2bc7f,,ingredientSource;sourceTaxon,enables notation search but does not declare deprecated visibility policy
config/skosmos/era-aom-production.ttl,production-browser-configuration,deployment,db0d4a2b39960c579e599b1271fef89262441929488832d865b97f30c441e3d0,,ingredientSource;sourceTaxon,matches local deprecated visibility behavior
