evidence_id,authority,title,url,evidence_class,supported_claim,limitation,access_date
LOCAL-GRAPH,ERA-AOM,Merged livestock graph at 5a6d0be7eab56a192522fc4c2b2556a2be2bbbba,../../dist/livestock-staging/nodes.csv,local-model,"Complete current closures, hierarchy, labels, definitions, semantic types, and material-facet usage can be audited deterministically from merged governed outputs.",Local graph records current ERA decisions; it cannot establish external biological or chemical truth.,2026-08-19
AOM-SCHEMA,ERA-AOM,AOM semantic schema,../../dist/releases/2026.1-rc.1/aom-schema.ttl,local-schema,"materialComponent is current superproperty of ingredientPart; primaryConstituent identifies a chemically defined constituent central to material identity; quantitative composition is represented separately.",Schema expresses current design and remains subject to this review and downstream compatibility planning.,2026-08-19
FOODON-REPO,FoodOn,FoodOn core repository,https://github.com/FoodOntology/foodon,ontology-design,"FoodOn separates food materials and products from anatomical and taxonomic origins and reuses Plant Ontology, UBERON, ChEBI, and NCBITaxon.",FoodOn covers human and domesticated-animal food broadly and does not prescribe ERA feed-product or browser structure.,2026-08-19
FOODON-PINNED,FoodOn,FoodOn editor ontology commit c5035015de540ba4f4210fd0e24d3909d6fb2037,https://github.com/FoodOntology/foodon/tree/c5035015de540ba4f4210fd0e24d3909d6fb2037,ontology-source,"Pinned FoodOn source contains food material, food product, seed part, seed germ, seed bran, and germ-and-bran classes usable for reproducible comparison.",Several seed-part terms derive from LanguaL and mix anatomical wording with process-defined fractions; they are comparison evidence rather than an exact hierarchy template.,2026-08-19
FOODON-LANGUAL,FoodOn,FoodOn and LanguaL design,https://foodon.org/design/foodon-and-langual/,ontology-design,"FoodOn uses independent facets and object properties for source, ingredient, and added substance; unknown or inapplicable catch-all values are avoided under open-world semantics.",Design concerns FoodOn migration from LanguaL and does not decide ERA component predicates or exact feed-material identities.,2026-08-19
CHEBI-ENTITY,ChEBI,CHEBI:24431 chemical entity,https://www.ebi.ac.uk/chebi/CHEBI%3A24431,chemical-ontology,"Chemical entity is an identity-level chemistry class including molecular entities, parts, and chemical substances.",ChEBI does not model feed composition measurements or feed-product authorization.,2026-08-19
CHEBI-SUBSTANCE,ChEBI,CHEBI:59999 chemical substance,https://www.ebi.ac.uk/chebi/CHEBI%3A59999,chemical-ontology,"Chemical substance is a chemical entity and is defined as a portion of matter of constant composition.",Not every ERA constituent category or processed mixture is a ChEBI chemical substance; exact mappings require concept-level review.,2026-08-19
PLANT-ONTOLOGY,Plant Ontology,Plant Ontology scope and pinned source,https://github.com/Planteome/plant-ontology/tree/94750e01c897da6955c2fef97379f4d99cb333a8,anatomy-ontology,"Plant Ontology provides cross-species plant anatomical entities and distinguishes whole plants, multi-tissue structures, organs, tissues, and developmental stages.",Common feed terms such as hull, husk, kernel, and germ may not be exact anatomical synonyms across taxa or processing contexts.,2026-08-19
PO-ENDOSPERM,Plant Ontology,PO:0009089 endosperm,https://purl.obolibrary.org/obo/PO_0009089,anatomy-ontology,"Endosperm is a portion of nutritive plant tissue in a seed and therefore is a true anatomical component.",Does not imply that a separated commercial endosperm fraction is identical to the anatomical tissue without process and purity evidence.,2026-08-19
PO-EMBRYO,Plant Ontology,PO:0009009 plant embryo,https://purl.obolibrary.org/obo/PO_0009009,anatomy-ontology,"Plant embryo is a whole plant participating in embryo stage; germ is only a related synonym, not an exact synonym.",Does not support treating every feed-industry germ fraction as exact plant embryo.,2026-08-19
UBERON,Uberon,Uberon anatomy ontology through EBI OLS,https://www.ebi.ac.uk/ols4/ontologies/uberon,anatomy-ontology,"Uberon provides cross-species animal anatomy including liver UBERON:0002107 and viscus UBERON:0002075.",Viscera is a collective/plural feed descriptor and is not automatically exact-equivalent to singular viscus.,2026-08-19
EU-FEED-CATALOGUE,European Union,Consolidated Catalogue of feed materials 02013R0068-20220724,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02013R0068-20220724,regulation,"Maize bran is a flour or semolina manufacturing product containing outer skins, germ fragments, and endosperm particles; maize germ is a manufacturing product containing predominantly germ plus outer skins and endosperm.",Regulatory product descriptions establish feed-material identity and process provenance but do not define universal anatomical classes or ontology relations.,2026-08-19
AGROVOC-STRAW,FAO AGROVOC,Straw,https://agrovoc.review.fao.org/browse/agrovoc/en/page/c_7441,agricultural-thesaurus,"Straw is a crop residue of dry stems and leaves left after harvest and is broader-classified under crop residues.",AGROVOC is a thesaurus; broader relations do not by themselves provide formal OWL identity axioms.,2026-08-19
NALT-CROP-RESIDUES,USDA NAL Thesaurus,Crop residues,https://lod.nal.usda.gov/nalt/en/page/24251,agricultural-thesaurus,"Crop residues are organic matter left after crop harvest; stover and straw are narrower products.",NALT classification does not decide ERA feed-product role or exact source-specific material hierarchy.,2026-08-19
NALT-STOVER,USDA NAL Thesaurus,Stover,https://lod.nal.usda.gov/nalt/en/page/29196,agricultural-thesaurus,"Stover is typed as a product and placed beneath crop residues, with corn stover narrower.",NALT provides no definition on this record and cannot establish exact composition for every crop stover.,2026-08-19
