generated_id,generated_label,action,canonical_id,replacement_label,status,reviewer,review_date,evidence,rationale
AOM_101087,Alkali treatment,reuse_existing,AOM_000819,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101089,Boiling,reuse_existing,AOM_000827,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101091,Crushing,reuse_existing,AOM_000835,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101071,Drying,reuse_existing,AOM_000843,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101092,Enzyme treatment,reuse_existing,AOM_000820,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Reuse concept in Feed Characteristic/Feed Process branch; management intervention concept AOM_000146 remains separate pending wider legacy review.
AOM_101094,Fermentation,reuse_existing,AOM_000830,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Reuse concept in Feed Characteristic/Feed Process branch; management intervention concept AOM_000147 remains separate pending wider legacy review.
AOM_101095,Grinding,reuse_existing,AOM_000836,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101082,Milling,reuse_existing,AOM_000838,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101097,Molasses treatment,reuse_existing,AOM_003202,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101098,Roasting,reuse_existing,AOM_000832,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101101,Urea treatment,reuse_existing,AOM_100848,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101102,Wilting,reuse_existing,AOM_000844,,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Existing concept already identifies this Feed Process; property context does not create new identity.
AOM_101093,Extrusion,reuse_existing,AOM_000833,,approved,Pete Steward,2026-08-11,docs/decisions/0042-feed-process-and-material-state-axes.md,Official process evidence establishes one thermo-mechanical extrusion identity; retain lower legacy ID with thermal mechanical and shaping parents.
AOM_101021,Ingredient processing methods,reuse_existing,AOM_000845,,approved,Pete Steward,2026-08-11,docs/decisions/0042-feed-process-and-material-state-axes.md,Generated processing-method root and legacy Feed Process root organize the same process vocabulary; property context does not create new identity.
AOM_101103,Blood,rename_distinct,,Blood component,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Component value differs from Blood feed material but requires an unambiguous preferred label.
AOM_101040,Shell,rename_distinct,,Shell component,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Component value differs from Shell animal by-product feed material but requires an unambiguous preferred label.
AOM_101113,Hay,rename_distinct,,Hay product type,approved,Pete Steward,2026-08-07,review/livestock-v25/global_identity_collision_detail.csv,Feed-product-type value differs from Hay storage/material concept but requires an unambiguous preferred label.
