concept_id,current_label,target_layer,target_type,disposition,migration_phase,backward_compatibility,status,reviewer,review_date,source_case,rationale
AOM_000531,Ingredient name,domain_data,aom:ingredientName,replace_concept_usage_with_property,2,retain_legacy_concept_deprecated_after_consumer_cutover,design-approved,Pete Steward,2026-08-04,PARENT-007,Describes ingredient record attribute rather than ingredient class.
AOM_000532,Ingredient part,domain_data,aom:ingredientPart,replace_concept_usage_with_property,2,retain_legacy_concept_deprecated_after_consumer_cutover,design-approved,Pete Steward,2026-08-04,PARENT-007,Describes ingredient record attribute rather than ingredient class.
AOM_000533,Ingredient species,domain_data,aom:sourceTaxon,replace_concept_usage_with_property,2,retain_legacy_concept_deprecated_after_consumer_cutover,design-approved,Pete Steward,2026-08-04,PARENT-007,Should reference taxon concept or identifier rather than act as ingredient class.
AOM_000534,Ingredient proportion,domain_data,aom:IngredientComponent+aom:ingredientProportion+qudt:QuantityValue,replace_concept_usage_with_quantified_component_property,2,retain_legacy_concept_deprecated_after_consumer_cutover,design-approved,Pete Steward,2026-08-04,PARENT-007,Quantitative value requires unit and measurement semantics.
AOM_000535,Ingredient source,domain_data,aom:ingredientSource,replace_concept_usage_with_property,2,retain_legacy_concept_deprecated_after_consumer_cutover,design-approved,Pete Steward,2026-08-04,PARENT-007,Describes ingredient provenance or origin rather than ingredient class.
AOM_000612,Soybean Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-078,May represent processed whole soybean rather than soybean by-product.
AOM_002020,Soybean Dried Fermented,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-078,May represent processed whole soybean rather than soybean by-product.
AOM_000944,Number of fields per unit,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000945,Target sward height,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000946,Max sward height,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000947,Field Size,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000948,Division Size,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000950,Cycle length,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000951,Rest period,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_000954,Number of animals,observation_data,aom:QuantitativeObservation+sosa:observedProperty+qudt:QuantityValue,retain_as_observable_property_and_migrate_values,2,retain_concept_uri_as_observed_property,design-approved,Pete Steward,2026-08-04,PARENT-200,Quantitative grazing-management field requires value and unit semantics.
AOM_001178,Barley Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-032,May represent processed whole barley rather than by-product.
AOM_002013,Barley Dried Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-032,May represent processed whole barley rather than by-product.
AOM_001618,Oat Fodder,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-038,May represent whole-crop fodder rather than by-product.
AOM_006143,Oat Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-038,May represent processed whole oat rather than by-product.
AOM_001276,Sorghum Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-042,May represent processed whole sorghum rather than by-product.
AOM_006316,Sorghum Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-042,May represent processed whole sorghum rather than by-product.
AOM_002086,Sorghum Sprout Dried Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-043,Sprout material needs source-part-process classification review.
AOM_000587,Wheat Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-044,May represent processed whole wheat rather than by-product.
