concept_id,preferred_label,hierarchy_path,domain,recommended_route
AOM_000106,Management,Management,core_root,manual_core_definition
AOM_000538,Bone Ash,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Bone/Bone Ash,feed_material,research_feedipedia
AOM_000540,Bone,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Bone,feed_material,research_feedipedia
AOM_000545,Fish Processing Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish/Fish Processing Waste,feed_material,research_taxon_insufficient_for_material
AOM_000547,Nile Perch Fish Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Nile Perch Fish Oil,feed_material,research_taxon_insufficient_for_material
AOM_000557,Oyster Shells,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell/Oyster Shells,feed_material,research_feedipedia
AOM_000558,Shell,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell,feed_material,research_feedipedia
AOM_000571,Maize Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Maize/Maize Offal,feed_material,research_feedipedia
AOM_000577,Rice Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Rice/Rice Offal,feed_material,research_feedipedia
AOM_000578,Rice Polish,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Rice/Rice Polish,feed_material,research_feedipedia
AOM_000589,Wheat Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Wheat/Wheat Offal,feed_material,research_feedipedia
AOM_000591,Wheat Shorts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Wheat/Wheat Shorts,feed_material,research_taxon_insufficient_for_material
AOM_000601,Cowpea Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Haulm,feed_material,research_feedipedia
AOM_000603,Fava Bean Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Fava Bean/Fava Bean Haulm,feed_material,research_feedipedia
AOM_000604,Groundnut Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm,feed_material,research_taxon_insufficient_for_material
AOM_000605,Groundnut Hull,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Hull,feed_material,research_feedipedia
AOM_000610,Soybean Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Cake,feed_material,research_public_ontology
AOM_000611,Soybean Full Fat Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Full Fat Cake,feed_material,research_public_ontology
AOM_000614,Soybean Residue,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Residue,feed_material,research_taxon_insufficient_for_material
AOM_000615,Legume ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,feed_material,research_feedipedia
AOM_000616,Canola Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Canola/Canola Cake,feed_material,research_public_ontology
AOM_000628,Oil Plant ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,feed_material,research_feedipedia
AOM_000638,Cassava Shaft,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Cassava/Cassava Shaft,feed_material,research_taxon_insufficient_for_material
AOM_000640,Yam Peels,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Yam/Yam Peels,feed_material,research_taxon_insufficient_for_material
AOM_000644,Sugar Processing ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts,feed_material,research_feedipedia
AOM_000654,Millet,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Millet,feed_material,research_feedipedia
AOM_000664,Ripe Avocado,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product/Avocado/Ripe Avocado,feed_material,research_public_ontology
AOM_000671,Palm Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil,feed_material,research_feedipedia
AOM_000672,Palm Oil Crude,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil Crude,feed_material,research_public_ontology
AOM_000676,Vegetable Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Vegetable Oil,feed_material,research_public_ontology
AOM_000683,Aquatic Plants,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Aquatic Plants,feed_material,research_feedipedia
AOM_000693,Grass Local,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Grass Local,feed_material,research_source_workbook
AOM_000695,Luscious Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Luscious Pasture,feed_material,research_source_workbook
AOM_000701,Cereal and Grass Forages,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages,feed_material,research_feedipedia
AOM_000706,Acacia tortilis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Acacia tortilis,feed_material,research_feedipedia
AOM_000735,Forage Plants,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants,feed_material,research_feedipedia
AOM_000748,Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),feed_material,research_source_workbook
AOM_000749,Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,feed_material,research_source_workbook
AOM_000752,Chamomile Flower,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Herb or Extract/Chamomile/Chamomile Flower,feed_material,research_taxon_insufficient_for_material
AOM_000765,Maclik,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Block/Maclik,feed_material,research_source_workbook
AOM_000846,Farming System,Farming System,core_root,manual_core_definition
AOM_001105,Lake Shells,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell/Lake Shells,feed_material,research_source_workbook
AOM_001145,Faidherbia albida,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Faidherbia albida,feed_material,research_feedipedia
AOM_001149,Gliricidia sepium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Gliricidia sepium,feed_material,research_feedipedia
AOM_001151,Gmelina arborea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Gmelina arborea,feed_material,research_feedipedia
AOM_001166,Opuntia ficus indica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Opuntia ficus indica,feed_material,research_feedipedia
AOM_001167,Opuntia ficus indica Juice,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Opuntia ficus indica/Opuntia ficus indica Juice,feed_material,research_taxon_insufficient_for_material
AOM_001180,Common Bean Tops,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Common Bean/Common Bean Tops,feed_material,research_taxon_insufficient_for_material
AOM_001181,Chickpea Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Chickpea/Chickpea Haulm,feed_material,research_taxon_insufficient_for_material
AOM_001190,Noug,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Noug,feed_material,research_feedipedia
AOM_001192,Olive Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Olive/Olive Cake,feed_material,research_feedipedia
AOM_001193,Groundnut Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Groundnut/Groundnut Oil,feed_material,research_public_ontology
AOM_001208,Centrosema pubescens,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Centrosema pubescens,feed_material,research_feedipedia
AOM_001216,Indigofera indica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Indigofera indica,feed_material,research_feedipedia
AOM_001251,Cassava Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Cassava/Cassava Waste,feed_material,research_taxon_insufficient_for_material
AOM_001254,Groundnut Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Cake,feed_material,research_public_ontology
AOM_001255,Flaxseed Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Flaxseed/Flaxseed Oil,feed_material,research_taxon_insufficient_for_material
AOM_001258,Common Bean Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Common Bean/Common Bean Haulm,feed_material,research_taxon_insufficient_for_material
AOM_001265,Ziziphus mauritiania,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Ziziphus mauritiania,feed_material,research_feedipedia
AOM_001281,Potato Hash,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Potato/Potato Hash,feed_material,research_taxon_insufficient_for_material
AOM_001282,Enset,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Enset,feed_material,research_feedipedia
AOM_001297,Maize Sheath,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Maize/Maize Sheath,feed_material,research_public_ontology
AOM_001303,Macadamia Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Macadamia/Macadamia Cake,feed_material,research_feedipedia
AOM_001308,Canola Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Canola/Canola Oil,feed_material,research_public_ontology
AOM_001309,Canola,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Canola,feed_material,research_public_ontology
AOM_001317,Soybean Full Fat,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Soybean/Soybean Full Fat,feed_material,research_feedipedia
AOM_001333,Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Oil,feed_material,research_public_ontology
AOM_001334,Pearl Millet,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Pearl Millet,feed_material,research_feedipedia
AOM_001344,Rosemary Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary/Rosemary Oil,feed_material,research_taxon_insufficient_for_material
