concept_id,preferred_label,review_status,implementation_status,semantic_class,target_parent_id,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_100850,Feed materials,approved,implemented,aom:FeedMaterial,AOM_000328,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;EU-2011-25,Retain feed materials as one product kind beneath broad Feed and keep source role process and composition independent.
AOM_101135,Feed additives,approved,implemented,aom:FeedAdditive,AOM_000328,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-1831-2003;EU-2011-25;EU-2021-758,Feed additives are legally distinct from feed materials and should remain a sibling product kind rather than a subtype.
AOM_101146,Feed chemical entities,held,hold,,AOM_000328,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,Cohort A only establishes that chemical identity must remain independent of product kind; Cohort D must decide reuse merge or retirement.
AOM_101147,Chemical substances,approved,implemented,,AOM_101146,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;EU-2021-758,Do not move beneath Feed materials or Feed additives. Rename to remove product-kind implication and connect exact products to chemical identity explicitly.
AOM_000559,Feeds of animal origin,approved,implemented,aom:FeedMaterial,AOM_100850,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;LOCAL-GRAPH,Animal is misleading as a feed-material label; use an editorial animal-origin grouping while source taxa remain explicit.
AOM_100976,Animal by-products,approved,implemented,aom:FeedMaterial,AOM_000559,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;LOCAL-GRAPH,Animal origin may support navigation but by-product status belongs on each material card through product role.
AOM_000561,Animal Manures,held,hold,,AOM_101142,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH,Current branch label does not establish feed-material eligibility and should not inherit FeedMaterial without use evidence.
AOM_001916,Crop Byproduct,approved,implemented,aom:FeedMaterial,AOM_101159,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;LOCAL-GRAPH,Replace separate crop-by-product top branch with Feedipedia-aligned plant-product navigation and explicit by-product roles.
AOM_100921,Crop product,approved,implemented,aom:FeedMaterial,AOM_101159,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;LOCAL-GRAPH,Crop product and Crop Byproduct divide one plant-product browsing axis by role; use one navigation collection and show role on cards.
AOM_000735,Forage materials,approved,implemented,aom:FeedMaterial,AOM_100850,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;AGROVOC-FEED-CROPS;AGROVOC-FORAGE,Forage can derive from crops and is not a disjoint plant class. Rename to material scope and permit overlap with plant-product source navigation.
