source_value,target_property,value_class,binding_action,status,reviewer,review_date,evidence,rationale
Beans,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,May denote whole material identity or seed; no audited occurrence resolves scope.
Full Fat,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,Compositional state cannot be represented truthfully as mere fat-constituent identity.
Heads,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,Source-only mapping cannot distinguish audited shrimp heads from possible plant reproductive heads.
Litter,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,"May denote bedding, poultry excreta mixture, or material identity; no audited occurrence resolves scope."
Meal,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,"Audited value is a named complete ration, not evidence for ground physical form or extraction residue."
Oil Crude,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,"Crude is processing state or grade, not a processing method; current facet model lacks that distinction."
Shaft,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,Cassava usage may be typo or local synonym for stem; no authoritative identity found.
Vine,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,Feed usage may mean stem alone or collective aerial biomass including leaves.
Weeds,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,"Names source-material class, not anatomical part, form, process, role, or constituent."
Whole,aom:legacyComponentDescriptor,xsd:string,hold_ambiguous,approved,Pete Steward,2026-08-05,review/livestock-v3/INGREDIENT_FACET_CLOSURE.md,"May mean whole crop, whole organism, whole grain, or absence of a component; source context must resolve scope."
