feed_material_id,old_property,old_target_id,implementation_action,new_property,new_target_id,review_status,reviewer,implementation_date,decision_record,rationale
AOM_001326,aom:compositionState,AOM_101086,migrated-to-component-retention-property,aom:componentRetentionState,AOM_101086,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Canonical occurrences and public feed authorities identify maize silage as whole-crop material.
AOM_000656,aom:compositionState,AOM_101110,migrated-to-component-retention-property,aom:componentRetentionState,AOM_101110,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Whole rice retains grain fractions while grinding remains an independent process.
AOM_000660,aom:compositionState,AOM_101110,migrated-to-component-retention-property,aom:componentRetentionState,AOM_101110,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Whole wheat retains grain fractions while grinding remains an independent process.
AOM_001313,aom:compositionState,AOM_101110,migrated-to-component-retention-property,aom:componentRetentionState,AOM_101110,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Crop-product context distinguishes whole-grain maize from source maize and whole-crop silage.
AOM_001324,aom:compositionState,AOM_101110,migrated-to-component-retention-property,aom:componentRetentionState,AOM_101110,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Whole-grain integrity and grinding are independent assertions.
AOM_000555,aom:compositionState,AOM_101116,retained-reviewed-assertion,aom:compositionState,AOM_101116,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Whole milk denotes composition rather than physical wholeness.
AOM_000611,aom:compositionState,AOM_101134,retained-reviewed-assertion,aom:compositionState,AOM_101134,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “full fat” mapped through hard-tail decision AOM_000611; assertion 1.
AOM_001317,aom:compositionState,AOM_101134,retained-reviewed-assertion,aom:compositionState,AOM_101134,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “full fat” mapped through hard-tail decision AOM_001317; assertion 1.
AOM_001359,aom:ingredientPart,AOM_101024,retained-reviewed-assertion,aom:ingredientPart,AOM_101024,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “bulb” mapped through hard-tail decision AOM_001359; assertion 1.
AOM_001914,aom:ingredientPart,AOM_101025,retained-reviewed-assertion,aom:ingredientPart,AOM_101025,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “cladode” mapped through hard-tail decision AOM_001914; assertion 1.
AOM_002154,aom:ingredientPart,AOM_101025,retained-reviewed-assertion,aom:ingredientPart,AOM_101025,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “cladode” mapped through hard-tail decision AOM_002154; assertion 1.
AOM_000569,aom:ingredientPart,AOM_101026,retained-generated-assertion,aom:ingredientPart,AOM_101026,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_001943,aom:ingredientPart,AOM_101026,retained-generated-assertion,aom:ingredientPart,AOM_101026,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_002083,aom:ingredientPart,AOM_101026,retained-generated-assertion,aom:ingredientPart,AOM_101026,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_006071,aom:ingredientPart,AOM_101026,retained-generated-assertion,aom:ingredientPart,AOM_101026,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_006218,aom:ingredientPart,AOM_101026,retained-generated-assertion,aom:ingredientPart,AOM_101026,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_001818,aom:ingredientPart,AOM_101027,retained-reviewed-assertion,aom:ingredientPart,AOM_101027,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “corm” mapped through hard-tail decision AOM_001818; assertion 1.
AOM_000664,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “avocado” mapped through hard-tail decision AOM_000664; assertion 1.
AOM_001603,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001603; assertion 1.
AOM_001654,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001654; assertion 1.
AOM_001761,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001761; assertion 1.
AOM_001848,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001848; assertion 1.
AOM_002111,aom:ingredientPart,AOM_101028,retained-reviewed-assertion,aom:ingredientPart,AOM_101028,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “fruits” mapped through hard-tail decision AOM_002111; assertion 1.
AOM_000605,aom:ingredientPart,AOM_101030,retained-reviewed-assertion,aom:ingredientPart,AOM_101030,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Explicit descriptor “hull” mapped through hard-tail decision AOM_000605; assertion 1.
AOM_000576,aom:ingredientPart,AOM_101031,retained-generated-assertion,aom:ingredientPart,AOM_101031,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_000602,aom:ingredientPart,AOM_101031,retained-generated-assertion,aom:ingredientPart,AOM_101031,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
AOM_000606,aom:ingredientPart,AOM_101031,retained-generated-assertion,aom:ingredientPart,AOM_101031,held,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md,Generated from approved rule under recorded guard; legacy material identity preserved.
