sheet,resource_type,publication,decision_status,notes
bibliography,operational,exclude,proposed,Source-management table; not controlled vocabulary
era_fields_v1,data_model,public,proposed,Legacy field registry retained for migration history
era_fields_v2,data_model,public,proposed,Current field registry; preserve existing Spanish
prac,concept_scheme,public,proposed,Phase 1 pilot
prod,concept_scheme,public,proposed,
lookup_levels,data_model,public,proposed,Preserve existing Spanish
prod_comp,concept_scheme,public,proposed,
out,concept_scheme,public,proposed,Phase 1 pilot
out_econ,concept_scheme,public,proposed,
fert,concept_scheme,public,proposed,
chem,concept_scheme,public,proposed,
countries,code_list,public,proposed,
trees,concept_scheme,public,proposed,
journals,code_list,public,proposed,
site_list,code_list,review,proposed,Check location and project sensitivity before publication
residues,crosswalk,public,proposed,
vars,concept_scheme,public,proposed,
vars_animals,concept_scheme,public,proposed,
var_traits,crosswalk,public,proposed,
AOM READ.ME,documentation,exclude,proposed,Migrate useful notes into maintained documentation
AOM,concept_scheme,public,proposed,
ani_diet,concept_scheme,public,proposed,
ani_process,concept_scheme,public,proposed,
ssa_feedsdb,closed,exclude,confirmed,Never publish
AOM_diets,concept_scheme,public,proposed,
unit_harmonization,crosswalk,public,proposed,
dois,operational,exclude,proposed,Source-management table; not controlled vocabulary
aez,code_list,public,proposed,
dups,scratch,exclude,proposed,
OLD_diet_process,legacy,exclude,proposed,Retain only as migration provenance
OLD_diet_item,legacy,exclude,proposed,Retain only as migration provenance
OLD_era_fields_v1,legacy,exclude,proposed,Retain only as migration provenance
scio - Custom Terms,scratch,exclude,proposed,Review provenance and whether mappings belong elsewhere
