route_id,sheet_order,sheet,inventory_resource_type,publication_disposition,disposition_status,nonblank_rows,columns,target_product,owner_repository,recommended_treatment,current_coverage_state,normalized_source_rows,migration_wave,next_action,recommended_decision,decision_rationale,conditions_or_holds,recommendation_status,human_decision,reviewer,review_date,decision_note
RR-01,1,bibliography,operational,exclude,proposed,0,0,operational-source-management,era-data-pipeline,operational-evidence,excluded-operational,0,hold,Keep source management outside public concept schemes; publish only governed provenance derived from it.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-02,2,era_fields_v1,data_model,public,proposed,136,4,era-data-schema;aom-core-bindings,era-data;era-aom,schema-with-semantic-bindings,inventory-only-legacy-schema,0,1-data-model-and-core,Retain as migration history; do not create one SKOS concept per field.,accept-proposed-route-with-row-review,Route resource to era-data-schema;aom-core-bindings using schema-with-semantic-bindings.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-03,3,era_fields_v2,data_model,public,proposed,753,32,era-data-schema;aom-core-bindings,era-data;era-aom,schema-with-semantic-bindings,inventory-only-current-schema,0,1-data-model-and-core,"Formalize fields, datatypes, cardinalities, lookups, and semantic bindings before additional domain migration.",accept-proposed-route-with-row-review,Route resource to era-data-schema;aom-core-bindings using schema-with-semantic-bindings.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-04,4,prac,concept_scheme,public,proposed,196,14,aom-crop,era-aom,concept-scheme,pilot-normalized,196,2-crop-observation-foundation,"Review pilot identities, hierarchy, definitions, and mappings before release promotion.",revise-to-cross-domain-row-routing,Treat source as a cross-domain registry and route each approved identity to its reviewed module rather than routing the whole sheet to aom-crop.,"Apply accepted ADR 0053; retain energy/module and row-level identity holds, and do not implement from sheet name or pilot history.",proposed,,,,
RR-05,5,prod,concept_scheme,public,proposed,414,30,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,3-crop-products-and-components,"Decompose biological source, harvested product, component, management flags, and external mappings before normalization.",accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-06,6,lookup_levels,data_model,public,proposed,682,21,era-data-code-lists;aom-core-bindings,era-data;era-aom,mixed-code-list-source,inventory-only,0,1-data-model-and-core,Route values by field; do not publish one undifferentiated ontology hierarchy.,accept-proposed-route-with-row-review,Route resource to era-data-code-lists;aom-core-bindings using mixed-code-list-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-07,7,prod_comp,concept_scheme,public,proposed,81,4,aom-crop,era-aom,concept-scheme,inventory-only,0,3-crop-products-and-components,Normalize components with reviewed identity links to products and biological sources.,accept-proposed-route-with-row-review,Route resource to aom-crop using concept-scheme.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-08,8,out,concept_scheme,public,proposed,116,20,aom-crop,era-aom,concept-scheme,pilot-normalized,116,2-crop-observation-foundation,Review pilot outcome hierarchy and bind outcome variables and quantities before promotion.,revise-to-cross-domain-row-routing,Treat source as a cross-domain registry and route each approved identity to its reviewed module rather than routing the whole sheet to aom-crop.,"Apply accepted ADR 0053; retain energy/module and row-level identity holds, and do not implement from sheet name or pilot history.",proposed,,,,
RR-09,9,out_econ,concept_scheme,public,proposed,65,4,aom-crop,era-aom,concept-scheme,inventory-only,0,2-crop-observation-foundation,Integrate economic outcomes with the reviewed outcome scheme rather than publish a disconnected tree.,revise-to-cross-domain-row-routing,Treat source as a cross-domain registry and route each approved identity to its reviewed module rather than routing the whole sheet to aom-crop.,"Apply accepted ADR 0053; retain energy/module and row-level identity holds, and do not implement from sheet name or pilot history.",proposed,,,,
RR-10,10,fert,concept_scheme,public,proposed,283,20,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,4-crop-inputs-and-chemicals,"Separate fertilizer material identity, nutrient composition, application role, compound formulation, and ChEBI mapping.",accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
