concept_id,preferred_label,hold_scope,blocking_question,owner,review_date,status,evidence
AOM_101064,Gluten constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101065,Starch constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101066,Fat constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101067,Essential-oil constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101080,Ash constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101081,Oil constituent,hold-exact-identity-and-label,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101116,Whole-milk composition,hold-for-cohort-e,"Does concept assert retained physical components, measured composition, or both?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101134,Native-fat-retained composition,hold-for-cohort-e,"Does concept assert retained physical components, measured composition, or both?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101030,Hull,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101031,Husk,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101032,Kernel,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101034,Peel,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101040,Shell component,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101041,Sprout,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101044,Viscera,move-under-animal-anatomy,"Does plural Viscera map to one viscus, a collection, or source-specific offal material?",Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101048,Plant top,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101074,Grain,hold-exact-anatomical-scope,What exact plant structure or material fraction does this label denote across current material assertions?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101105,Stover,remove-component-use-hold-identity,Is a generic Stover material concept required after source-specific hierarchy and role facets are complete?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
AOM_101106,Straw,remove-component-use-hold-identity,Does existing AOM_000582 cover generic Straw identity?,Pete Steward,2026-08-20,held,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md
