concept_id,preferred_label,remediation_track,prior_blocker
AOM_000558,Shell,authority_repair,source_warning
AOM_000615,Legume ByProducts,identity_consolidation,category_or_duplicate_review
AOM_000638,Cassava Shaft,semantic_model,unmodelled_derived_material_descriptor
AOM_000664,Ripe Avocado,authority_repair,public_authority_mismatch
AOM_000672,Palm Oil Crude,authority_repair,public_authority_mismatch
AOM_000676,Vegetable Oil,authority_repair,public_authority_mismatch
AOM_000693,Grass Local,local_term,local_identity_evidence
AOM_000695,Luscious Pasture,local_term,local_identity_evidence
AOM_000748,Asperozym (Fibrolytic Enzymes),commercial_product,external_product_evidence
AOM_000749,Axtra Phy Broiler,commercial_product,external_product_evidence
AOM_000765,Maclik,commercial_product,external_product_evidence
AOM_001105,Lake Shells,local_term,local_identity_evidence
AOM_001145,Faidherbia albida,identity_consolidation,synonym_replacement_review
AOM_001149,Gliricidia sepium,identity_consolidation,synonym_replacement_review
AOM_001151,Gmelina arborea,authority_repair,source_warning
AOM_001208,Centrosema pubescens,identity_consolidation,synonym_replacement_review
AOM_001309,Canola,authority_repair,public_authority_mismatch
AOM_001333,Oil,authority_repair,public_authority_mismatch
AOM_001383,Andropogon guianensis,identity_repair,contradictory_species_mapping
AOM_001465,Cynodon nlemfuensis,authority_repair,source_warning
AOM_001475,Lolium,authority_repair,source_warning
AOM_001497,Megalac,commercial_product,external_product_evidence
AOM_001500,ACTIPAL HP 1,commercial_product,external_product_evidence
AOM_001501,AquaNutro Abalone Grower,commercial_product,external_product_evidence
AOM_001508,Lactobacillus plantarum,semantic_model,hierarchy_correction_required
AOM_001526,Lotus corniculatus,authority_repair,retrieval_failure
AOM_001527,Centrosema molle,identity_consolidation,synonym_replacement_review
AOM_001536,Chromolaena odorata,authority_repair,source_warning
AOM_001579,Elancoban,commercial_product,external_product_evidence
AOM_001760,Acacia etbaica,authority_repair,public_authority_mismatch
AOM_001766,Acacia polyacantha,authority_repair,public_authority_mismatch
AOM_001771,Leucaena pallida,authority_repair,public_authority_mismatch
AOM_001797,Gliciridia sepium,identity_consolidation,synonym_replacement_review
AOM_001821,Terminalia brownii,authority_repair,retrieval_failure
AOM_001831,Vitalite,local_term,local_identity_evidence
AOM_001868,Toxynil,commercial_product,external_product_evidence
AOM_001870,Prime Gluten 60,commercial_product,external_product_evidence
AOM_001921,Vitalyte,local_term,local_identity_evidence
AOM_002206,Acacia Albida,identity_consolidation,synonym_replacement_review
AOM_003064,Aspilia africana,authority_repair,source_warning
AOM_003172,Food Waste,authority_repair,source_warning
AOM_003359,Onion Veins,semantic_model,unmodelled_derived_material_descriptor
AOM_003747,Axtra XAP,commercial_product,external_product_evidence
AOM_003749,Natuzyme,commercial_product,external_product_evidence
AOM_003858,Groundnut Veins,semantic_model,unmodelled_derived_material_descriptor
AOM_003899,Spondias mombin,authority_repair,source_warning
AOM_003910,Legume Mixtures Weeds,semantic_model,unmodelled_derived_material_descriptor
AOM_003929,Lima Bean Vein,semantic_model,unmodelled_derived_material_descriptor
AOM_003930,Soybean Cheese Waste,semantic_model,unmodelled_derived_material_descriptor
AOM_003977,Tridax procumbens,authority_repair,source_warning
AOM_004002,Maize Yellow,identity_repair,contradictory_mapping_removed
AOM_006006,Tata,local_term,local_identity_evidence
AOM_006160,Brewers By-Product,identity_consolidation,category_or_duplicate_review
AOM_006331,Agrivate,commercial_product,external_product_evidence
AOM_006410,Occicum gatissimum,semantic_model,unmodelled_derived_material_descriptor
