concept_id,preferred_label,review_status,implementation_status,review_role,mechanisms,technical_objectives,possible_benefits,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_000845,Feed processes,approved,implemented,root,,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-TRANSFORMATION;FOODON-STRUCTURE;OBI-CORE,One operation identity may have several mechanisms objectives outputs and contextual benefits.
AOM_100990,Biological feed processes,approved,implemented,mechanism-grouping,Biological,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Biological describes how transformation occurs rather than why process is applied.
AOM_100991,Chemical feed processes,approved,implemented,mechanism-grouping,Chemical,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Chemical describes mechanism and must remain separate from technical objective and benefit.
AOM_000837,Mechanical feed processes,approved,implemented,mechanism-grouping,Mechanical,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,Mechanical force may serve reduction separation shaping or other objectives.
AOM_000826,Thermal feed processes,approved,implemented,mechanism-grouping,Thermal,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,Heat transfer is mechanism and does not imply one nutritional or preservation purpose.
AOM_101129,Feed particle-size reduction processes,approved,implemented,technical-objective-grouping,,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,Particle-size reduction is direct technical objective not mechanical mechanism or guaranteed nutritional effect.
AOM_101130,Feed component separation processes,approved,implemented,technical-objective-grouping,,Component separation or fraction recovery,Composition tailoring;Process-output recovery,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0044,Separation describes direct objective shared by mechanical thermal solvent and other operations.
AOM_101131,Feed shaping and agglomeration processes,approved,implemented,technical-objective-grouping,,Shaping or agglomeration,Handling or mixing improvement;Palatability or intake improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE;ADR-0042,Shaping is objective achieved by operations such as pelleting and extrusion.
AOM_000842,Moisture-removal feed processes,approved,implemented,technical-objective-grouping,,Moisture reduction,Preservation or storage-stability improvement;Handling improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042,Moisture reduction may use natural thermal osmotic pressure or other mechanisms.
AOM_000818,Acid Treatment,approved,implemented,process-operation,Chemical,Constituent transformation,Digestibility improvement;Preservation or storage-stability improvement;Safety improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Acid treatment may change pH or constituents but specific benefit depends on agent dose material and process conditions.
AOM_000819,Alkali Treatment,approved,implemented,process-operation,Chemical,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Alkali treatment changes chemical structure; digestibility response remains contextual.
AOM_000817,Ammonia Treatment,approved,implemented,process-operation,Chemical,Constituent transformation;Component addition or application,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES,Application and chemical action are direct process facts; nitrogen and digestibility effects require context.
AOM_100848,Urea Treatment,approved,implemented,process-operation,Chemical;Enzymatic or biochemical,Constituent transformation;Component addition or application,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,Urea treatment can depend on urease-mediated ammonia formation and subsequent chemical action.
AOM_003202,Molasses Treatment,approved,implemented,process-operation,Unspecified at generic level,Component addition or application,Palatability or intake improvement;Dust reduction;Fermentation support,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,Adding molasses is not itself chemical transformation; mixing or coating method may vary.
AOM_000820,Enzyme Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,Enzymes catalyse molecular transformation; benefit depends on enzyme substrate dose and feed context.
AOM_000824,Amylase Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Substrate-specific enzyme treatment remains process operation rather than benefit category.
