issue_id,issue_type,Table,Field,source_rows,active_rounds,evidence,recommended_disposition
FIELD-BLANK-042,blank-field-row,"","",42,"",Workbook row has no Field value.,Classify row as table metadata or remove it from field registry after source review.
FIELD-BLANK-410,blank-field-row,Irrig.Codes,"",410,"",Workbook row has no Field value.,Classify row as table metadata or remove it from field registry after source review.
FIELD-BLANK-411,blank-field-row,Irrig.Methods,"",411,"",Workbook row has no Field value.,Classify row as table metadata or remove it from field registry after source review.
FIELD-DUP-001,duplicate-logical-field-key,Till.Out,T.Level.Name,166;186,166:majestic_hippo_2020+industrious_elephant_2023 | 186:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-002,duplicate-logical-field-key,Till.Out,T.Method,167;187,167:majestic_hippo_2020+industrious_elephant_2023 | 187:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-003,duplicate-logical-field-key,Till.Out,T.Method.Other,168;188,168:majestic_hippo_2020 | 188:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-004,duplicate-logical-field-key,Till.Out,T.Depth,170;189,170:majestic_hippo_2020+industrious_elephant_2023 | 189:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-005,duplicate-logical-field-key,Till.Out,T.Freq,171;190,171:majestic_hippo_2020+industrious_elephant_2023 | 190:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-006,duplicate-logical-field-key,Till.Out,T.Strip.P,172;191,172:majestic_hippo_2020+industrious_elephant_2023 | 191:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-007,duplicate-logical-field-key,Till.Out,T.Strip.WT,173;192,173:majestic_hippo_2020+industrious_elephant_2023 | 192:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-008,duplicate-logical-field-key,Till.Out,T.Strip.WU,174;193,174:majestic_hippo_2020+industrious_elephant_2023 | 193:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-009,duplicate-logical-field-key,Till.Out,B.Code,176;195,176:majestic_hippo_2020+industrious_elephant_2023+courageous_camel_2024 | 195:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-010,duplicate-logical-field-key,Till.Out,Time,178;196,178:industrious_elephant_2023 | 196:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-011,duplicate-logical-field-key,Till.Out,T.Date.Start,179;197,179:industrious_elephant_2023 | 197:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-012,duplicate-logical-field-key,Till.Out,T.Date.End,180;198,180:industrious_elephant_2023 | 198:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-013,duplicate-logical-field-key,Till.Out,Site.ID,185;199,185:industrious_elephant_2023 | 199:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-014,duplicate-key-label-conflict,Irrig.Out,I.Date.Start,405;406,405:majestic_hippo_2020 | 406:majestic_hippo_2020,Same key carries display names: Date Start | Date End.,Review probable source-key error; do not auto-rename from display label.
FIELD-DUP-015,duplicate-logical-field-key,Animals.Out,A.Codes,451;478,451:skinny_cow_2022 | 478:courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-016,duplicate-logical-field-key,Animals.Diet,D.Item.AOM,483;503,483:skinny_cow_2022 | 503:skinny_cow_2022,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-DUP-017,duplicate-logical-field-key,Animals.Diet,D.Item.Raw,484;504,484:skinny_cow_2022+courageous_camel_2024 | 504:skinny_cow_2022+courageous_camel_2024,"Same table-field key appears more than once, commonly as round-specific variants.",Create one stable logical field identity plus separate round-specific field profiles.
FIELD-TABLE-480,missing-table-key,"",Time,480,courageous_camel_2024,Populated Field has no Table value and is dropped by current schema generator.,Assign reviewed table identity or explicitly retire row; never infer table from label alone.
