concept_id,preferred_label,ingredient_family,governed_identity,authority_uri,decision,status,reviewer,review_date,rationale
AOM_000545,Fish Processing Waste,Animal Byproduct,fish processing waste,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000547,Nile Perch Fish Oil,Animal,nile perch fish,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000554,Insect,Animal,insect,http://purl.obolibrary.org/obo/NCBITaxon_50557,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_000591,Wheat Shorts,Crop Byproduct,wheat shorts,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000604,Groundnut Haulm,Crop Byproduct,groundnut haulm,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000610,Soybean Cake,Crop Byproduct,soybean,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000611,Soybean Full Fat Cake,Crop Byproduct,soybean full fat,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000614,Soybean Residue,Crop Byproduct,soybean residue,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000616,Canola Cake,Crop Byproduct,canola,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000638,Cassava Shaft,Crop Byproduct,cassava shaft,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000640,Yam Peels,Crop Byproduct,yam peels,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_000651,Maize Oil,Crop Product,Maize Oil,http://aims.fao.org/aos/agrovoc/c_29474,approve_structured_oil_material,approved,Pete Steward,2026-08-06,Exact AGROVOC material identity supports source plus oil-constituent decomposition; oil is not physical form.
AOM_000664,Ripe Avocado,Crop Product,avocado,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000672,Palm Oil Crude,Crop Product,palm crude,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000674,Sunflower Oil,Crop Product,Sunflower Oil,http://aims.fao.org/aos/agrovoc/c_25506,approve_structured_oil_material,approved,Pete Steward,2026-08-06,Exact AGROVOC material identity supports source plus oil-constituent decomposition; oil is not physical form.
AOM_000676,Vegetable Oil,Crop Product,vegetable,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_000703,Acacia angustissima,Forage Plants,acacia angustissima,wfo-0000182075,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_000726,Legume Forages,Forage Plants,legume forages,wfo-7000000323,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_000752,Chamomile Flower,Supplement,chamomile flower,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001110,Rastrineobola argentea,Animal,rastrineobola argentea,http://purl.obolibrary.org/obo/NCBITaxon_1108697,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001114,Mollusk,Animal,mollusk,http://purl.obolibrary.org/obo/NCBITaxon_6447,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001118,Acacia cyanophylla,Forage Plants,acacia cyanophylla,wfo-0000192034,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001119,Acacia saligna,Forage Plants,acacia saligna,wfo-0001054072,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001126,Afzelia africana,Forage Plants,afzelia africana,wfo-0000213207,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001128,Annona senegalensis,Forage Plants,annona senegalensis,wfo-0000537928,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001136,Carissa edulis,Forage Plants,carissa edulis,wfo-0000803249,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001137,Chamaecytisus palmensis,Forage Plants,chamaecytisus palmensis,wfo-0000186655,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001139,Daniellia oliveri,Forage Plants,daniellia oliveri,wfo-0000166281,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001142,Erythrina brucei,Forage Plants,erythrina brucei,wfo-0000180564,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001144,Euclea schimperi,Forage Plants,euclea schimperi,wfo-0000681132,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001147,Ficus thonningii,Forage Plants,ficus thonningii,wfo-0000690599,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001153,Hoodia gordonii,Forage Plants,hoodia gordonii,wfo-0001104548,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001167,Opuntia ficus indica Juice,Forage Plants,opuntia ficus indica juice,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001171,Prosopis africana,Forage Plants,prosopis africana,wfo-0000168965,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001174,Sesbania goetzei,Forage Plants,sesbania goetzei,wfo-0000178101,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001180,Common Bean Tops,Crop Byproduct,common bean tops,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001181,Chickpea Haulm,Crop Byproduct,chickpea haulm,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001185,Linseed,Crop Product,linseed,wfo-0000903570,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001193,Groundnut Oil,Crop Product,groundnut,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001201,Avocado,Crop Product,avocado,wfo-0000465160,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001205,Aeschynomene histrix,Forage Plants,aeschynomene histrix,wfo-0000183514,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
