concept_id,preferred_label,prior_blocker,recommended_route
AOM_000557,Oyster Shells,source_warning,research_feedipedia
AOM_000558,Shell,source_warning,research_feedipedia
AOM_000610,Soybean Cake,public_authority_mismatch,research_public_ontology
AOM_000611,Soybean Full Fat Cake,public_authority_mismatch,research_public_ontology
AOM_000616,Canola Cake,public_authority_mismatch,research_public_ontology
AOM_000638,Cassava Shaft,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_000664,Ripe Avocado,public_authority_mismatch,research_public_ontology
AOM_000672,Palm Oil Crude,public_authority_mismatch,research_public_ontology
AOM_000676,Vegetable Oil,public_authority_mismatch,research_public_ontology
AOM_000748,Asperozym (Fibrolytic Enzymes),external_product_evidence,research_source_workbook
AOM_000749,Axtra Phy Broiler,external_product_evidence,research_source_workbook
AOM_000765,Maclik,external_product_evidence,research_source_workbook
AOM_001151,Gmelina arborea,source_warning,research_feedipedia
AOM_001193,Groundnut Oil,public_authority_mismatch,research_public_ontology
AOM_001254,Groundnut Cake,public_authority_mismatch,research_public_ontology
AOM_001297,Maize Sheath,public_authority_mismatch,research_public_ontology
AOM_001308,Canola Oil,public_authority_mismatch,research_public_ontology
AOM_001309,Canola,public_authority_mismatch,research_public_ontology
AOM_001333,Oil,public_authority_mismatch,research_public_ontology
AOM_001382,Andropogon abyssinica,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001439,Beetroot Discards,public_authority_mismatch,research_public_ontology
AOM_001465,Cynodon nlemfuensis,source_warning,research_feedipedia
AOM_001475,Lolium,source_warning,research_feedipedia
AOM_001497,Megalac,external_product_evidence,research_source_workbook
AOM_001500,ACTIPAL HP 1,external_product_evidence,research_source_workbook
AOM_001501,AquaNutro Abalone Grower,external_product_evidence,research_source_workbook
AOM_001526,Lotus corniculatus,retrieval_failure,research_feedipedia
AOM_001536,Chromolaena odorata,source_warning,research_feedipedia
AOM_001561,Ulva lactuca,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001562,Ulva armoricana,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001579,Elancoban,external_product_evidence,research_source_workbook
AOM_001603,Acacia tortilis Fruits,public_authority_mismatch,research_public_ontology
AOM_001675,Baby Corn Stalk,public_authority_mismatch,research_public_ontology
AOM_001760,Acacia etbaica,public_authority_mismatch,research_public_ontology
AOM_001761,Acacia etbaica Fruits,public_authority_mismatch,research_public_ontology
AOM_001766,Acacia polyacantha,public_authority_mismatch,research_public_ontology
AOM_001771,Leucaena pallida,public_authority_mismatch,research_public_ontology
AOM_001805,African Palm Larvae,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001817,Legume Residue,public_authority_mismatch,research_public_ontology
AOM_001821,Terminalia brownii,retrieval_failure,research_feedipedia
AOM_001842,Cabbage Discards,public_authority_mismatch,research_public_ontology
AOM_001846,Pollard,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001868,Toxynil,external_product_evidence,research_source_workbook
AOM_001870,Prime Gluten 60,external_product_evidence,research_source_workbook
AOM_001871,Urtica dioica,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_001903,Asteraceae,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_002200,Chlorella vulgaris,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003064,Aspilia africana,source_warning,research_feedipedia
AOM_003172,Food Waste,source_warning,research_feedipedia
AOM_003359,Onion Veins,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003747,Axtra XAP,external_product_evidence,research_source_workbook
AOM_003749,Natuzyme,external_product_evidence,research_source_workbook
AOM_003858,Groundnut Veins,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003899,Spondias mombin,source_warning,research_feedipedia
AOM_003910,Legume Mixtures Weeds,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003929,Lima Bean Vein,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003930,Soybean Cheese Waste,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_003977,Tridax procumbens,source_warning,research_feedipedia
AOM_003996,Sweet Basil,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_006003,Molasses,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
AOM_006169,Groundnut Residue,public_authority_mismatch,research_public_ontology
AOM_006331,Agrivate,external_product_evidence,research_source_workbook
AOM_006410,Occicum gatissimum,unmodelled_derived_material_descriptor,research_taxon_insufficient_for_material
