concept_id,preferred_label,v29_action,v29_evidence_state,implementation_status,semantic_class,target_parent_id,decision_record,method_record,reviewer,review_date,rationale
AOM_000531,Ingredient name,deprecate-and-remove-from-browse,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000532,Ingredient part,deprecate-and-remove-from-browse,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000533,Ingredient species,deprecate-and-remove-from-browse,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000534,Ingredient proportion,deprecate-and-remove-from-browse,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000535,Ingredient source,deprecate-and-remove-from-browse,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000559,Animal,retain-pending-later-review,outside-current-defect,outside-scope,aom:FeedMaterial,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000561,Animal Manures,retain-pending-later-review,outside-current-defect,outside-scope,aom:FeedMaterial,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000735,Forage Plants,retain-pending-later-review,outside-current-defect,outside-scope,aom:FeedMaterial,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000736,Unresolved supplement classifications,retire-and-replace,authority-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Supplement denotes use with another feed, not a material identity. Descendants require independent classification."
AOM_000737,Amino Acid,move,authority-supported,implemented-structural,,AOM_101136,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
