case_id,subject_id,mapping_relation,target_scheme,target_id,target_uri,original_value,status,source_release,reviewer,review_date,evidence,rationale
FEED-STRUCT-POULTRY-MEAL,AOM_101127,exactMatch,feedipedia,214,https://www.feedipedia.org/node/214,https://www.feedipedia.org/node/214,approved,AOM curation,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia datasheet directly defines poultry by-product meal identity and processing scope.
FEED-STRUCT-POULTRY-HIGH-PROTEIN,AOM_101127,narrowMatch,feedipedia,12911,https://www.feedipedia.org/node/12911,https://www.feedipedia.org/node/12911,approved,AOM curation,Pete Steward,2026-08-11,https://www.feedipedia.org/node/12911,High-protein poultry by-product meal is narrower external material retained without minting unsupported AOM identity.
COMPONENT-CHEMICAL-MAP-AOM_101146-CHEBI_24431,AOM_101146,broadMatch,ontology,CHEBI_24431,https://www.ebi.ac.uk/chebi/CHEBI%3A24431,https://www.ebi.ac.uk/chebi/CHEBI%3A24431,approved,ChEBI record accessed 2026-08-20,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101147-CHEBI_59999,AOM_101147,closeMatch,ontology,CHEBI_59999,https://www.ebi.ac.uk/chebi/CHEBI%3A59999,https://www.ebi.ac.uk/chebi/CHEBI%3A59999,approved,ChEBI record accessed 2026-08-20,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101104-FOODON_03420288,AOM_101104,closeMatch,ontology,FOODON_03420288,http://purl.obolibrary.org/obo/FOODON_03420288,http://purl.obolibrary.org/obo/FOODON_03420288,approved,FoodOn commit c5035015de540ba4f4210fd0e24d3909d6fb2037,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101046-PO_0004518,AOM_101046,exactMatch,ontology,PO_0004518,http://purl.obolibrary.org/obo/PO_0004518,http://purl.obolibrary.org/obo/PO_0004518,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101024-PO_0025356,AOM_101024,exactMatch,ontology,PO_0025356,http://purl.obolibrary.org/obo/PO_0025356,http://purl.obolibrary.org/obo/PO_0025356,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101025-PO_0025354,AOM_101025,exactMatch,ontology,PO_0025354,http://purl.obolibrary.org/obo/PO_0025354,http://purl.obolibrary.org/obo/PO_0025354,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101027-PO_0025355,AOM_101027,exactMatch,ontology,PO_0025355,http://purl.obolibrary.org/obo/PO_0025355,http://purl.obolibrary.org/obo/PO_0025355,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101153-PO_0009089,AOM_101153,exactMatch,ontology,PO_0009089,http://purl.obolibrary.org/obo/PO_0009089,http://purl.obolibrary.org/obo/PO_0009089,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101117-PO_0009046,AOM_101117,exactMatch,ontology,PO_0009046,http://purl.obolibrary.org/obo/PO_0009046,http://purl.obolibrary.org/obo/PO_0009046,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
COMPONENT-CHEMICAL-MAP-AOM_101028-PO_0009001,AOM_101028,exactMatch,ontology,PO_0009001,http://purl.obolibrary.org/obo/PO_0009001,http://purl.obolibrary.org/obo/PO_0009001,approved,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Concept-level definition comparison supports governed mapping relation.
