concept_id,preferred_label,remediation_track,prior_blocker,decision,status,governed_source_identity,component_scope,process_scope,reviewer,review_date,evidence,blocker_code,rationale
AOM_000558,Shell,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Shell,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_000615,Legume ByProducts,identity_consolidation,category_or_duplicate_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,category_or_duplicate_review,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.
AOM_000638,Cassava Shaft,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_000664,Ripe Avocado,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,avocado,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_000672,Palm Oil Crude,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,palm,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_000676,Vegetable Oil,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,vegetable,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_000693,Grass Local,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Grass Local,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_000695,Luscious Pasture,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Luscious Pasture,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_000748,Asperozym (Fibrolytic Enzymes),commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Asperozym (Fibrolytic Enzymes),unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_000749,Axtra Phy Broiler,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Axtra Phy Broiler,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_000765,Maclik,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Maclik,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
