feed_id,source_table,prior_property,prior_target_id,disposition,approved_property,approved_target_id,status,evidence,rationale
AOM_000544,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000678,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101065,primary_chemical_constituent,aom:primaryConstituent,AOM_101065,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001289,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101065,primary_chemical_constituent,aom:primaryConstituent,AOM_101065,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000651,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000674,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001586,approved_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000538,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101080,primary_chemical_constituent,aom:primaryConstituent,AOM_101080,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000547,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000611,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101066,composition_state,aom:compositionState,AOM_101134,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Full-fat denotes retained native fat, not identity as fat constituent or measured concentration."
AOM_000671,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000672,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_000676,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001193,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001255,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001308,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001317,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101066,composition_state,aom:compositionState,AOM_101134,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Full-fat denotes retained native fat, not identity as fat constituent or measured concentration."
AOM_001344,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001820,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101065,primary_chemical_constituent,aom:primaryConstituent,AOM_101065,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001880,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_001930,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_002241,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_003697,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101120,primary_chemical_constituent,aom:primaryConstituent,AOM_101120,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_003700,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_003978,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101065,primary_chemical_constituent,aom:primaryConstituent,AOM_101065,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
AOM_006200,approved_hard_tail_feed_material_facets.csv,aom:ingredientConstituent,AOM_101081,primary_chemical_constituent,aom:primaryConstituent,AOM_101081,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Oil, starch, ash, or protein is identity-bearing chemical constituent, not formulation ingredient."
