case_id,deprecated_id,replacement_id,preferred_label,reviewer,review_date,evidence,rationale
MAIZE-004,AOM_006072,AOM_001326,Whole-crop maize silage,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Canonical occurrences and public feed authorities identify both records as whole-crop maize silage; AOM_001326 has more occurrences and reviewed Feedipedia scope.
PATH-BREWERS-GRAIN,AOM_001884,AOM_000564,"Brewers grains, dehydrated",Pete Steward,2026-08-03,review/livestock-v2/PRIORITY_RECOMMENDATIONS.md,"Same label, hierarchy path, and Feedipedia 11893 target; no distinguishing definition; AOM_000564 has more downstream references."
IDENTITY-BEAN-VINE,AOM_004000,AOM_003960,Common bean vine,Pete Steward,2026-08-03,review/livestock-v2/CONTROLLED_TERM_CORRECTIONS.md,"Green Bean Vine and Haricot Bean Vine have no distinguishing definitions and share Phaseolus vulgaris, NCBITaxon_3885, and WFO wfo-0000207144; retain lower existing ID and preserve both labels as alternatives."
IDENTITY-BOTHRIOCHLOA,AOM_001898,AOM_001459,Bothriochloa dried,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,"Corrected labels, NCBITaxon 79826, WFO wfo-4000005074, and CPC 01919.9 coincide; no distinguishing definition exists."
COLLISION-ANTIPROTOZOAL,AOM_000338,AOM_000350,Antiprotozoal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 35820 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-ANTIPLASMODIAL,AOM_000339,AOM_000351,Antiplasmodial,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 64915 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-ANTITRICHOMONAL,AOM_000340,AOM_000352,Antitrichomonal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 50685 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-COCCIDIOSTAT,AOM_000341,AOM_000353,Coccidiostat,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 35818 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-TRYPANOCIDAL,AOM_000342,AOM_000354,Trypanocidal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 36335 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-STRIP-GRAZING,AOM_000949,AOM_000935,Strip grazing,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Shared synonym and EOL 0001945 mapping coincide; retained lower ID also carries source definition.
COLLISION-ENZYME-TREATMENT,AOM_000146,AOM_000820,Enzyme Treatment,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and source processing meaning coincide; retain AOM_000820 because it carries governed processing-method assertions and preserve the legacy hierarchy through a second broader link.
COLLISION-FERMENTATION,AOM_000147,AOM_000830,Fermentation,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same feed-preservation process; retain AOM_000830 because it carries governed processing-method assertions and preserve the legacy hierarchy through a second broader link.
COLLISION-PRODUCTION-ORIENTATION,AOM_000855,AOM_000850,production orientation,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions differ only by aquatic versus terrestrial branch wording and both denote the same classification dimension; retain lower stable ID with both system parents.
COLLISION-REARING-STAGE,AOM_000874,AOM_000865,rearing stage,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions do not establish separate identities beyond aquatic versus terrestrial branch placement; retain lower stable ID with both system parents.
COLLISION-GROWING,AOM_000876,AOM_000867,growing,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same production stage and differ only in punctuation; retain lower stable ID through the shared rearing-stage hierarchy.
COLLISION-GROWER-FINISHER,AOM_000877,AOM_000868,grower-finisher,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same production stage and differ only in formatting; retain lower stable ID through the shared rearing-stage hierarchy.
COLLISION-JUVENILE,AOM_000878,AOM_000869,juvenile,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Generic aquatic and terrestrial juvenile definitions coincide; retain AOM_000869 while the separately defined fish juvenile remains distinct.
COLLISION-DOMESTICATED-JUVENILE,AOM_000879,AOM_000870,domesticated juvenile,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same farm-origin juvenile production state and differ only in formatting; retain lower stable ID.
COLLISION-WILD-CAUGHT-JUVENILE,AOM_000880,AOM_000871,wild caught juvenile,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same wild-origin juvenile production state and differ only in formatting; retain lower stable ID.
COLLISION-NEWBORN,AOM_000883,AOM_000872,newborn,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions describe the same newborn production stage and differ only in formatting; retain lower stable ID through the shared rearing-stage hierarchy.
COLLISION-PRE-GROWOUT,AOM_000884,AOM_000873,pre-growout,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Terrestrial record supplies no distinct identity beyond branch placement; retain the defined lower stable ID through the shared rearing-stage hierarchy.
COLLISION-LIVING-ENVIRONMENT,AOM_000900,AOM_000885,living environment,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions differ only by aquatic versus terrestrial branch wording and both denote the same classification dimension; retain lower stable ID with both system parents.
COLLISION-SPECIES-ASSOCIATIONS,AOM_000922,AOM_000893,species associations,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Terrestrial definition is not a distinct species-association identity and the aquatic record already names the shared dimension; retain lower stable ID with both system parents.
COLLISION-MONO-SPECIES,AOM_000923,AOM_000894,mono-species,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and EOL mapping coincide; retain lower stable ID through the shared species-associations hierarchy.
COLLISION-GROUP-HOUSING,AOM_000924,AOM_000895,group-housing,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and EOL mapping coincide; retain lower stable ID through the shared mono-species hierarchy.
COLLISION-INDIVIDUAL-HOUSING,AOM_000925,AOM_000896,individual housing,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and EOL mapping coincide; retain lower stable ID through the shared mono-species hierarchy.
COLLISION-MULTI-SPECIES,AOM_000926,AOM_000897,multi-species,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and EOL mapping coincide; retain lower stable ID through the shared species-associations hierarchy.
