concept_id,preferred_label,hierarchy_path,blocker_code,remediation_track,review_lane,semantic_risk,automation_eligible,candidate_related_ids,current_evidence,resolution_gate,required_action,proposed_status,reviewer,review_date,review_notes
AOM_000538,Bone Ash,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Bone/Bone Ash,narrower_table_scope,material_scope,domain_expert,high,false,,,table-row or section evidence matching exact material,Shared table describes narrower component or processing state; page co-reference does not define this concept.,held,TBD,,
AOM_000540,Bone,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Bone,narrower_table_scope,material_scope,domain_expert,high,false,,,table-row or section evidence matching exact material,Shared table describes narrower component or processing state; page co-reference does not define this concept.,held,TBD,,
AOM_000558,Shell,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell,source_warning,authority_repair,curator,high,false,,,independent reachable material-grade authority,Warned or unreachable source cannot support definition and no independent material-grade authority is available.,held,TBD,,
AOM_000571,Maize Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Maize/Maize Offal,granularity_mismatch,material_scope,domain_expert,high,false,,,direct material-grade authority,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity.",held,TBD,,
AOM_000577,Rice Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Rice/Rice Offal,granularity_mismatch,material_scope,domain_expert,high,false,,,direct material-grade authority,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity.",held,TBD,,
AOM_000578,Rice Polish,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Rice/Rice Polish,granularity_mismatch,material_scope,domain_expert,high,false,,,direct material-grade authority,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity.",held,TBD,,
AOM_000589,Wheat Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Wheat/Wheat Offal,granularity_mismatch,material_scope,domain_expert,high,false,,,direct material-grade authority,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity.",held,TBD,,
AOM_000603,Fava Bean Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Fava Bean/Fava Bean Haulm,granularity_mismatch,material_scope,domain_expert,high,false,,,direct material-grade authority,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity.",held,TBD,,
AOM_000615,Legume ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,category_or_duplicate_review,identity_consolidation,curator,critical,false,,,occurrence audit and canonical replacement decision,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.,held,TBD,,
AOM_000638,Cassava Shaft,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Cassava/Cassava Shaft,unmodelled_derived_material_descriptor,semantic_model,ontology_reviewer,high,false,,,approved facet or explicit new concept model,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets.",held,TBD,,
