recommendation_id,priority,owner_repository,action,acceptance_evidence,semantic_change_authorized
DM-01,blocker,era-data-pipeline,"Define normalized tables, fields, field profiles, value sets, unit mappings, and semantic bindings as separate governed resources.",Machine-readable normalized registry with unique keys and foreign-key validation.,no
DM-02,blocker,canonical-workbook;era-data-pipeline,Assign stable field keys and require one logical table-field identity; represent extraction-round differences in field profiles.,No duplicate logical field keys; four extraction rounds represented without duplicate field definitions.,no
DM-03,blocker,canonical-workbook;era-data-pipeline,"Resolve 21 field-key issues, including probable Irrig.Out date-key conflict, before schema regeneration.",Every issue row has reviewed source disposition and regenerated output.,no
DM-04,high,canonical-workbook;era-data-pipeline;era-aom,Replace lookup_levels label join with explicit field_key to value_set_id relationship and review 41 unmatched pairs.,All 83 value-set pairs resolve through explicit keys or reviewed retirement; no fuzzy join.,no
DM-05,high,era-data-pipeline;era-data,Separate extraction-model schema from compiled-product schemas and derive each through explicit transformations.,Separate extraction and product manifests with declared derivation lineage.,no
DM-06,high,era-data;era-docs,Document every 138-column public product schema field and publish product-specific controlled-value links.,Both product schemas contain 138 reviewed descriptions or explicit documented deferrals.,no
DM-07,high,eragri;era-data,"Pin eragri data and dictionaries to an ERA release and generate compatibility reports for column additions, removals, and aliases.",Package objects expose release ID and zero unexplained schema drift.,no
DM-08,high,era-aom,"Promote only demonstrated governance, observation, quantity, and provenance scaffolds to shared core after crop-livestock comparison.",Approved shared-core register with crop and livestock evidence per promoted family.,no
DM-09,medium,era-aom;era-data-pipeline,"Generalize semantic binding contract to stable dataset, table, field, value-set, and release identifiers without moving domain concepts to core.",Bindings validate against stable keys and preserve domain-module target ownership.,no
DM-10,medium,era-data,Publish tabular contracts as CSVW and/or Frictionless Table Schema descriptors validated against governed registry sources.,"Descriptors validate tables, datatypes, keys, requiredness, and foreign keys.",no
DM-11,medium,era-data-pipeline;era-data,"Retain raw unit text; add reviewed canonical unit URI, quantity kind, conversion rule, basis, and provenance; resolve 64 blanks and ZMK/ha conflict.","Every unit row has governed status; canonical mappings carry identifier, quantity kind, and transformation evidence where applicable.",no
DM-12,medium,era-program,"Close issues #27 and #21 only after source, generated schema, released Parquet, package, catalog, and documentation parity gates pass.",Cross-repository compatibility matrix and green contract tests.,no
