case_id,concept_id,language,label_type,label,status,reviewer,review_date,evidence,rationale
FEED-MODEL-ALIAS-AOM_100850,AOM_100850,en,alt,Feed ingredient,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101019,AOM_101019,en,alt,Ingredient anatomical parts,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101020,AOM_101020,en,alt,Ingredient presentation forms,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101022,AOM_101022,en,alt,Ingredient product roles,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101023,AOM_101023,en,alt,Ingredient constituents,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101076,AOM_101076,en,alt,Whole form,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101099,AOM_101099,en,alt,Steeping,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101110,AOM_101110,en,alt,Whole grain,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101130,AOM_101130,en,alt,Feed separation and fractionation processes,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101132,AOM_101132,en,alt,Ingredient bulk consistencies,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-MODEL-ALIAS-AOM_101133,AOM_101133,en,alt,Ingredient moisture conditions,approved,Pete Steward,2026-08-11,docs/decisions/0043-feed-formulation-and-descriptor-model.md,Preserves prior public-facing generated label after structural relabeling.
FEED-TAXONOMY-ALIAS-AOM_100988,AOM_100988,en,alt,Untreated organic-waste feed materials,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_100989,AOM_100989,en,alt,Microalgae supplements,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101019,AOM_101019,en,alt,Feed-material anatomical parts,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101022,AOM_101022,en,alt,Feed-material product roles,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101055,AOM_101055,en,alt,Discard role,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101057,AOM_101057,en,alt,Offal role,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101059,AOM_101059,en,alt,Residue role,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101060,AOM_101060,en,alt,Milling-shorts role,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101063,AOM_101063,en,alt,Crop-residue role,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101086,AOM_101086,en,alt,Whole crop,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101110,AOM_101110,en,alt,Whole-grain integrity,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101115,AOM_101115,en,alt,Composition states,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101130,AOM_101130,en,alt,Feed separation processes,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-TAXONOMY-ALIAS-AOM_101134,AOM_101134,en,alt,Full-fat composition,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Preserves prior public-facing label after approved axis reclassification.
FEED-PRODUCT-KIND-ALIAS-AOM_101147,AOM_101147,en,alt,Feed chemical substances,approved,Pete Steward,2026-08-16,docs/decisions/0045-feed-product-kind-and-source-navigation.md,Preserves prior generated label after product-neutral relabeling.
FEED-PRODUCT-KIND-ALIAS-AOM_101159,AOM_101159,en,alt,Plant products/by-products,approved,Pete Steward,2026-08-16,docs/decisions/0045-feed-product-kind-and-source-navigation.md,Preserves accepted Feedipedia-style navigation wording as a searchable alias.
PROCESS-AXIS-ALIAS-AOM_101069,AOM_101069,en,alt,Defatting,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,Preserves prior public label and searchability after objective-focused relabeling.
