concept_id,preferred_label,material_assertion_count,approved_parent_additions,disposition,status,evidence
AOM_000845,Feed processes,0,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101068,Brewhouse processing,0,AOM_000826;AOM_101130,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101069,Defatting,8,AOM_101130,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101070,Pressing,5,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000843,Drying,399,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101072,Extraction,2,AOM_101130,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101073,Threshing,1,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000838,Flour milling,3,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101083,Hydrolysis,2,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101084,Sugar processing,3,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000819,Alkali treatment,10,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101088,Autoclaving,3,AOM_101096,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000827,Boiling,18,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101090,Cracking,1,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000835,Crushing,39,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000820,Enzyme treatment,7,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000833,Extrusion,3,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000830,Fermentation,31,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000836,Grinding,343,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101096,Heating,10,AOM_000826,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_003202,Molasses treatment,3,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000832,Roasting,13,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101099,Soaking,6,,canonical_reuse_target,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_003098,Sprouting,2,,canonical_reuse_target,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_100848,Urea treatment,31,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000844,Wilting,50,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101123,Stacking,1,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101124,Distillation,1,AOM_000826;AOM_101130,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101128,Rendering,1,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101129,Feed particle-size reduction processes,0,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101130,Feed separation processes,0,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_101131,Feed shaping and agglomeration processes,0,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
AOM_000831,Ensiling,69,,renamed_or_reparented,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md
