case_id,subject_id,subject_class,relation_property,object_id,object_class,status,reviewer,review_date,evidence,rationale
PROCESS-AXIS-REL-001,AOM_000817,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101169,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Digestibility improvement.
PROCESS-AXIS-REL-002,AOM_000817,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101170,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Nutrient availability improvement.
PROCESS-AXIS-REL-003,AOM_000817,aom:ProcessingMethod,aom:processMechanism,AOM_100991,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Chemical.
PROCESS-AXIS-REL-004,AOM_000817,aom:ProcessingMethod,aom:technicalProcessObjective,AOM_101164,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Constituent transformation.
PROCESS-AXIS-REL-005,AOM_000817,aom:ProcessingMethod,aom:technicalProcessObjective,AOM_101166,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Component addition or application.
PROCESS-AXIS-REL-006,AOM_000818,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101169,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Digestibility improvement.
PROCESS-AXIS-REL-007,AOM_000818,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101172,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Safety improvement.
PROCESS-AXIS-REL-008,AOM_000818,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101174,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Preservation or storage-stability improvement.
PROCESS-AXIS-REL-009,AOM_000818,aom:ProcessingMethod,aom:processMechanism,AOM_100991,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Chemical.
PROCESS-AXIS-REL-010,AOM_000818,aom:ProcessingMethod,aom:technicalProcessObjective,AOM_101164,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Constituent transformation.
PROCESS-AXIS-REL-011,AOM_000819,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101169,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Digestibility improvement.
PROCESS-AXIS-REL-012,AOM_000819,aom:ProcessingMethod,aom:maySupportFeedBenefit,AOM_101171,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Antinutritional-factor reduction.
PROCESS-AXIS-REL-013,AOM_000819,aom:ProcessingMethod,aom:processMechanism,AOM_100991,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;review/livestock-v35/process_axis_review.csv,Accepted row-level disposition: Chemical.
