concept_id,preferred_label,current_status,review_role,recommended_disposition,recommended_mechanisms,recommended_technical_objectives,possible_intended_feed_benefits,processing_method_material_count,recommended_semantic_action,evidence_ids,status,blocking_question
AOM_000845,Feed processes,staging,root,retain-root,,,,0,Keep as process-operation vocabulary root; exclude mechanism and objective grouping concepts from material processingMethod values.,LOCAL-GRAPH;FOODON-TRANSFORMATION;FOODON-STRUCTURE;OBI-CORE,proposed,
AOM_100990,Biological feed processes,staging,mechanism-grouping,retain-mechanism-grouping,Biological,,,0,Represent as governed mechanism category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_100991,Chemical feed processes,staging,mechanism-grouping,retain-mechanism-grouping,Chemical,,,0,Represent as governed mechanism category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_000837,Mechanical feed processes,staging,mechanism-grouping,retain-mechanism-grouping,Mechanical,,,0,Represent as governed mechanism category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000826,Thermal feed processes,staging,mechanism-grouping,retain-mechanism-grouping,Thermal,,,0,Represent as governed mechanism category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_101129,Feed particle-size reduction processes,staging,technical-objective-grouping,retain-objective-grouping,,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,0,Represent as technical-objective category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_101130,Feed component separation processes,staging,technical-objective-grouping,retain-objective-grouping,,Component separation or fraction recovery,Composition tailoring;Process-output recovery,0,Represent as technical-objective category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0044,proposed,
AOM_101131,Feed shaping and agglomeration processes,staging,technical-objective-grouping,retain-objective-grouping,,Shaping or agglomeration,Handling or mixing improvement;Palatability or intake improvement,0,Represent as technical-objective category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;FOODON-PROCESS-TABLE;ADR-0042,proposed,
AOM_000842,Moisture-removal feed processes,staging,technical-objective-grouping,retain-objective-grouping,,Moisture reduction,Preservation or storage-stability improvement;Handling improvement,0,Represent as technical-objective category and browser projection; never use as material processingMethod value.,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000818,Acid Treatment,staging,process-operation,retain-process,Chemical,Constituent transformation,Digestibility improvement;Preservation or storage-stability improvement;Safety improvement,0,Replace benefit-heavy definition with operation scope; assert only definitional mechanism and objective.,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
