concept_id,preferred_label,disposition,semantic_class,target_parent_id,status,reviewer,review_date,evidence,rationale
AOM_001491,Formulated feeds,category,,AOM_000328,approved,Pete Steward,2026-08-11,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,Feed-material ingredients and formulated or compound feeds require separate browse roots and semantic classes.
AOM_000798,Beef Survival Meal,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000799,Commercial Feed,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000800,Concentrate,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000801,Dairy Meal,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000803,Layer Concentrate,feed_formulation,aom:FeedFormulation,AOM_000800,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000804,Total Mixed Ration,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_000805,Imported Concentrate,feed_formulation,aom:FeedFormulation,AOM_000800,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001492,Protein-Mineral Concentrate,feed_formulation,aom:FeedFormulation,AOM_000800,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001493,Growers Concentrate,feed_formulation,aom:FeedFormulation,AOM_000800,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
