concept_id,preferred_label,recommended_route,blocker_code
AOM_000538,Bone Ash,research_feedipedia,shared_page
AOM_000540,Bone,research_feedipedia,shared_page
AOM_000557,Oyster Shells,research_feedipedia,source_warning
AOM_000558,Shell,research_feedipedia,source_warning
AOM_000571,Maize Offal,research_feedipedia,identity_or_alias_review
AOM_000577,Rice Offal,research_feedipedia,identity_or_alias_review
AOM_000578,Rice Polish,research_feedipedia,identity_or_alias_review
AOM_000589,Wheat Offal,research_feedipedia,identity_or_alias_review
AOM_000601,Cowpea Haulm,research_feedipedia,identity_or_alias_review
AOM_000603,Fava Bean Haulm,research_feedipedia,identity_or_alias_review
AOM_000610,Soybean Cake,research_public_ontology,public_authority_mismatch
AOM_000611,Soybean Full Fat Cake,research_public_ontology,public_authority_mismatch
AOM_000615,Legume ByProducts,research_feedipedia,identity_or_alias_review
AOM_000616,Canola Cake,research_public_ontology,public_authority_mismatch
AOM_000654,Millet,research_feedipedia,shared_page
AOM_000664,Ripe Avocado,research_public_ontology,public_authority_mismatch
AOM_000671,Palm Oil,research_feedipedia,shared_page
AOM_000672,Palm Oil Crude,research_public_ontology,public_authority_mismatch
AOM_000676,Vegetable Oil,research_public_ontology,public_authority_mismatch
AOM_000706,Acacia tortilis,research_feedipedia,identity_or_alias_review
AOM_001145,Faidherbia albida,research_feedipedia,shared_page
AOM_001149,Gliricidia sepium,research_feedipedia,shared_page
AOM_001151,Gmelina arborea,research_feedipedia,source_warning
AOM_001166,Opuntia ficus indica,research_feedipedia,shared_page
AOM_001190,Noug,research_feedipedia,identity_or_alias_review
AOM_001193,Groundnut Oil,research_public_ontology,public_authority_mismatch
AOM_001208,Centrosema pubescens,research_feedipedia,shared_page
AOM_001216,Indigofera indica,research_feedipedia,identity_or_alias_review
AOM_001254,Groundnut Cake,research_public_ontology,public_authority_mismatch
AOM_001265,Ziziphus mauritiania,research_feedipedia,identity_or_alias_review
AOM_001282,Enset,research_feedipedia,shared_page
AOM_001297,Maize Sheath,research_public_ontology,public_authority_mismatch
AOM_001308,Canola Oil,research_public_ontology,public_authority_mismatch
AOM_001309,Canola,research_public_ontology,public_authority_mismatch
AOM_001317,Soybean Full Fat,research_feedipedia,shared_page
AOM_001333,Oil,research_public_ontology,public_authority_mismatch
AOM_001334,Pearl Millet,research_feedipedia,shared_page
AOM_001373,Cellulose,research_feedipedia,identity_or_alias_review
AOM_001380,Andropogon gayanus,research_feedipedia,shared_page
AOM_001383,Andropogon guianensis,research_feedipedia,shared_page
AOM_001389,Digitaria decumbens,research_feedipedia,shared_page
AOM_001397,Bracharia decumbens,research_feedipedia,shared_page
AOM_001407,Panicum maximum,research_feedipedia,shared_page
AOM_001439,Beetroot Discards,research_public_ontology,public_authority_mismatch
AOM_001446,Sorghum sudanense,research_feedipedia,identity_or_alias_review
AOM_001455,Triticum,research_feedipedia,identity_or_alias_review
AOM_001462,Cynadon dactylon,research_feedipedia,identity_or_alias_review
AOM_001465,Cynodon nlemfuensis,research_feedipedia,source_warning
AOM_001475,Lolium,research_feedipedia,source_warning
AOM_001476,Lolium multiflorum,research_feedipedia,identity_or_alias_review
AOM_001479,Megathyrsus maximus,research_feedipedia,identity_or_alias_review
AOM_001482,Sugar Beet Molasses,research_feedipedia,identity_or_alias_review
AOM_001523,Tripsacum laxum,research_feedipedia,identity_or_alias_review
