source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Acacia brevispica,,,NCBITaxon_546664,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Acacia cyanophylla,,,NCBITaxon_420411,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Acacia etbaica,,,NCBITaxon_546664,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Acacia karroo,,,NCBITaxon_546664,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Acacia polyacantha,,,NCBITaxon_546664,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Acacia senegal,Senegalia senegal,species,NCBITaxon_138043,NCBITaxon_138043,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=138043,Preserve source name and use current NCBI accepted name.
Aeschynomene histrix,,,NCBITaxon_561487,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Albizia gummifera,Albizia gummifera,species,NCBITaxon_1561840,NCBITaxon_1561840,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1561840,Exact live NCBI name match.
Albizia harveyi,Albizia harveyi,species,NCBITaxon_199155,NCBITaxon_199155,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=199155,Exact live NCBI name match.
Albizia lebbeck,Albizia lebbeck,species,NCBITaxon_371650,NCBITaxon_371650,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=371650,Exact live NCBI name match.
Andropogon abyssinica,,,NCBITaxon_2003509,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Andropogon guianensis,,,NCBITaxon_15314,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
