case_id,concept_id,model_family,target_property,target_concept_id,target_label,additional_process_id,status,reviewer,review_date,evidence,rationale
CLOSURE-MILK,AOM_000555,dairy_composition_state,aom:compositionState,AOM_101116,Whole-milk composition,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk identifies a composition category rather than physical wholeness.
CLOSURE-DESHO-HAY,AOM_000687,conserved_forage_hay,aom:feedProductType,AOM_101113,Hay product type,AOM_000843,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Hay is a conserved forage product and drying is independently asserted.
CLOSURE-BEEF-MEAL,AOM_000798,formulated_feed_meal,aom:feedProductType,AOM_101114,Compound feed,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named survival meal is a formulated compound feed; meal does not prove grinding.
CLOSURE-DAIRY-MEAL,AOM_000801,formulated_feed_meal,aom:feedProductType,AOM_101114,Compound feed,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named dairy meal is a formulated compound feed; meal does not prove grinding.
CLOSURE-LAYER-MEAL,AOM_002109,formulated_feed_meal,aom:feedProductType,AOM_101114,Compound feed,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named layer meal is a formulated compound feed; meal does not prove grinding.
CLOSURE-SHEEP-MEAL,AOM_001498,formulated_feed_meal,aom:feedProductType,AOM_101114,Compound feed,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Named sheep meal is a formulated compound feed; meal does not prove grinding.
CLOSURE-ARGAN-PULP,AOM_003892,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-BEET-PULP,AOM_001836,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-BEET-PULP-DRIED,AOM_000633,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product identity remains independent of drying.
CLOSURE-CITRUS-PULP,AOM_003885,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-CITRUS-PULP-COMPLEX,AOM_006217,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product identity remains independent of explicit processing methods.
CLOSURE-CITRUS-PULP-ENSILED,AOM_006178,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product identity remains independent of ensiling.
CLOSURE-COFFEE-PULP,AOM_003546,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-ORANGE-PULP,AOM_003891,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-SUGAR-BEET-PULP,AOM_001483,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-SUGAR-BEET-PULP-DRIED,AOM_006271,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product identity remains independent of drying.
CLOSURE-SOYBEAN-PULP,AOM_001778,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
CLOSURE-SOYBEAN-PULP-GROUND,AOM_001779,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp product identity remains independent of grinding.
CLOSURE-TOMATO-PULP,AOM_002137,pulp_product_material,aom:feedProductType,AOM_101112,Processing pulp,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Pulp denotes a processing-derived feed product type rather than physical form.
