concept_id,previous_label,approved_label,semantic_axis,target_parent_id,status,reviewer,review_date,evidence,rationale
AOM_101148,Feed product roles,Feed product roles,product_role,AOM_101022,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Separate product-status roles from material, component, process, functional, and experimental axes."
AOM_101062,By-product role,By-product role,product_role,AOM_101148,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;https://eur-lex.europa.eu/eli/reg/2013/68/oj/eng;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Keep by-product and waste as sibling roles; secondary role does not replace material identity.
AOM_101061,Waste role,Waste role,product_role,AOM_101148,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Waste status is not a subtype of by-product status and does not establish feed eligibility.
AOM_101055,Discard role,Discarded-material waste role,product_role,AOM_101061,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Discard terminology belongs beneath waste role; source material identity remains separate.
AOM_101056,Market-waste role,Market-waste role,product_role,AOM_101061,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Market waste is a source-specific waste specialization, not a by-product subtype."
AOM_101058,Processing-waste role,Processing-waste role,product_role,AOM_101061,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Processing waste remains under waste unless evidence supports by-product status.
AOM_101057,Offal role,Offal by-product role,product_role,AOM_101062,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R1069;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Offal wording identifies secondary-output role; exact animal or crop material identity must remain separate.
AOM_101059,Residue role,Production-residue by-product role,product_role,AOM_101062,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/eli/reg/2013/68/oj/eng;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Residues retained as feed are modeled as by-product roles while residue identity and process provenance remain separate.
AOM_101060,Milling-shorts role,Milling by-product role,product_role,AOM_101062,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/eli/reg/2013/68/oj/eng;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Shorts is a milling-fraction identity; role assertion records only secondary-output status.
AOM_101063,Crop-residue role,Crop-residue by-product role,product_role,AOM_101062,approved,Pete Steward,2026-08-12,https://eur-lex.europa.eu/eli/reg/2013/68/oj/eng;era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Crop-residue component identity remains independent from secondary-output role.
