case_id,deprecated_id,replacement_id,preferred_label,reviewer,review_date,evidence,rationale
MAIZE-004,AOM_006072,AOM_001326,Whole-crop maize silage,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,"Canonical occurrences and public feed authorities identify both records as whole-crop maize silage; AOM_001326 has more occurrences and reviewed Feedipedia scope."
PATH-BREWERS-GRAIN,AOM_001884,AOM_000564,"Brewers grains, dehydrated",Pete Steward,2026-08-03,review/livestock-v2/PRIORITY_RECOMMENDATIONS.md,"Same label, hierarchy path, and Feedipedia 11893 target; no distinguishing definition; AOM_000564 has more downstream references."
IDENTITY-BEAN-VINE,AOM_004000,AOM_003960,Common bean vine,Pete Steward,2026-08-03,review/livestock-v2/CONTROLLED_TERM_CORRECTIONS.md,"Green Bean Vine and Haricot Bean Vine have no distinguishing definitions and share Phaseolus vulgaris, NCBITaxon_3885, and WFO wfo-0000207144; retain lower existing ID and preserve both labels as alternatives."
IDENTITY-BOTHRIOCHLOA,AOM_001898,AOM_001459,Bothriochloa dried,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,"Corrected labels, NCBITaxon 79826, WFO wfo-4000005074, and CPC 01919.9 coincide; no distinguishing definition exists."
COLLISION-ANTIPROTOZOAL,AOM_000338,AOM_000350,Antiprotozoal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 35820 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-ANTIPLASMODIAL,AOM_000339,AOM_000351,Antiplasmodial,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 64915 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-ANTITRICHOMONAL,AOM_000340,AOM_000352,Antitrichomonal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 50685 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-COCCIDIOSTAT,AOM_000341,AOM_000353,Coccidiostat,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 35818 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-TRYPANOCIDAL,AOM_000342,AOM_000354,Trypanocidal,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Exact label definition and ChEBI 36335 mapping coincide; retained concept sits in semantically correct antimicrobial branch.
COLLISION-STRIP-GRAZING,AOM_000949,AOM_000935,Strip grazing,Pete Steward,2026-08-06,docs/decisions/0021-preferred-label-collision-governance.md,Shared synonym and EOL 0001945 mapping coincide; retained lower ID also carries source definition.
