rule_id,dimension,source_pattern,normalized_value,default_confidence,approval_state,safety_constraint
PROCESS-ALKALI_TREATED,process,alkali treated,Alkali treatment,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-AUTOCLAVED,process,autoclaved,Autoclaving,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-BOILED,process,boiled,Boiling,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-CHOPPED,process,chopped,Chopping,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-CRACKED,process,cracked,Cracking,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-CRUSHED,process,crushed,Crushing,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-DEFATTED,process,defatted,Defatting,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-DRIED,process,dried,Drying,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-ENSILED,process,ensiled,Ensiling,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-ENZYME_TREATED,process,enzyme treated,Enzyme treatment,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-EXTRUDED,process,extruded,Extrusion,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-FERMENTED,process,fermented,Fermentation,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-GROUND,process,ground,Grinding,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-HEATED,process,heated,Heating,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-HYDROLYSED,process,hydrolysed,Hydrolysis,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-MOLASSES_TREATED,process,molasses treated,Molasses treatment,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-DEHULLED,process,dehulled,Dehulling,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-PELLETED,process,pelleted,Pelleting,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-PRESSED,process,pressed,Pressing,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-ROASTED,process,roasted,Roasting,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
