claim_id,claim,disposition,evidence,limitation
EVID-01,Current canonical field sheet has 754 workbook rows but only 733 unique valid table-field keys.,confirmed,source_contracts.csv;field_quality_metrics.csv,"Counts describe current workbook structure, not approved target fields."
EVID-02,Seventeen logical field keys are duplicated and one populated field lacks table identity.,confirmed,field_key_issues.csv,Duplicate rows may encode round variants; audit does not auto-merge them.
EVID-03,Current schema generator omits courageous_camel_2024 despite 324 field rows carrying that round.,confirmed,field_quality_metrics.csv;R/vocab/build_model_schema.R,Round flags do not prove fields are populated in released data.
EVID-04,Published extraction model retains 750 field entries over 733 unique keys and includes no unit field.,confirmed,consumer_contract_comparison.csv;vocab/version=2026.1/era_data_model.schema.json,Published model derives from v2026.1 source and is not rebuilt from current workbook in this review.
EVID-05,Only 42 of 83 lookup table-field pairs exactly match current field-registry keys.,confirmed,lookup_binding_audit.csv,"Unmatched pairs may be stale names, source omissions, or intentional external tables; no candidate is auto-approved."
EVID-06,Unit crosswalk has 64 blank corrections and one raw label with two distinct nonblank corrections.,confirmed,unit_mapping_audit.csv,Audit evaluates labels only and does not infer dimensions or conversion factors.
EVID-07,Published agronomy and livestock product schemas each contain 138 columns and zero descriptions.,confirmed,consumer_contract_comparison.csv;schemas/era_compiled.schema.json;schemas/era_compiled_ls.schema.json,Schema files describe released product columns but do not prove data values satisfy intended semantics.
EVID-08,eragri package data has 137 columns while package dictionary has 106 field names.,confirmed,consumer_contract_comparison.csv;consumer_contract_diffs.csv,Package snapshot may intentionally represent an older release; missing provenance prevents automatic reconciliation.
EVID-09,Current approved semantic bindings cover 13 livestock/feed or grazing concepts and no crop source fields.,confirmed,semantic_binding_scope.csv,Generic target classes do not establish shared-core scope.
EVID-10,Current approved semantic value contract contains 298 livestock/feed-scoped rows.,confirmed,source_contracts.csv;approved_semantic_value_bindings.csv,Reviewed value bindings cover only observed livestock contract values.
EVID-11,Published vocab v2026.1 records an older workbook fingerprint than current canonical workbook.,confirmed,source_contracts.csv;vocab/version=2026.1/vocab_manifest.json,"Different fingerprint signals lineage drift, not that immutable v2026.1 should be overwritten."
EVID-12,"CSVW and Frictionless Table Schema can represent field datatypes, constraints, and key relationships.",authority-supported,https://www.w3.org/TR/tabular-metadata/;https://specs.frictionlessdata.io/table-schema/,Neither standard decides agricultural semantics or ontology identity.
EVID-13,QUDT can identify units and quantity kinds but label matching alone cannot authorize a mapping or conversion.,authority-supported,https://www.qudt.org/catalog/qudt-catalog.html;unit_mapping_audit.csv,QUDT coverage varies by unit type; currencies and contextual ratios may require other authorities or ERA mappings.
EVID-14,"Shared-core promotion requires crop-livestock evidence; current generic scaffolds remain candidates, not completed core migration.",governance-decision,docs/decisions/0051-whole-vocabulary-resource-boundaries-and-migration-sequence.md;shared_core_boundary.csv,No semantic entity is promoted or moved by this recommendation-only review.
