concept_id,preferred_label,disposition,status,evidence,rationale
AOM_000555,Whole Milk,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_000656,Ground whole-grain rice,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_000660,Ground whole-grain wheat,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_001313,Whole-grain maize,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_001324,Ground whole-grain maize,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_001326,Whole-crop maize silage,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_003973,Cotton Seed,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_006072,Maize Whole Ensiled,deprecated_duplicate_reparented_from_whole_grain,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_101076,Intact presentation,rename_intact_presentation,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_101086,Whole crop,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_101110,Whole-grain integrity,rename_whole_grain_integrity,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
AOM_101116,Whole-milk composition,retained_distinct_scope,approved,docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Whole-crop, whole-grain integrity, intact presentation, whole-milk composition, and lexical aliases remain separate reviewed scopes."
