source_value,facet,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale
Block,presentation_form,AOM_101049,Block form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Bulb,anatomical_part,AOM_101024,Bulb,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Cladode,anatomical_part,AOM_101025,Cladode,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Cob,anatomical_part,AOM_101026,Cob,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Corm,anatomical_part,AOM_101027,Corm,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Discards,product_role,AOM_101055,Discarded-material waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Fruits,anatomical_part,AOM_101028,Fruit,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Germ,anatomical_part,AOM_101029,Germ,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Gluten,chemical_constituent,AOM_101064,Gluten constituent,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Hull,anatomical_part,AOM_101030,Hull,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Husk,anatomical_part,AOM_101031,Husk,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Kernel,anatomical_part,AOM_101032,Kernel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
