collision_id,concept_id,preferred_label,origin,concept_type,hierarchy_path,broader_ids,broader_labels,facet_kind,target_property,value_class,definition,semantic_use_count,semantic_use_examples
IDENTITY-001,AOM_000956,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Cattle;Buffalo/Adult,AOM_000955,Cattle;Buffalo,,,,"Not calf, heifer, grower, finisher, steer etc.  Could be a female that has given birth or is older than 2 years. A bull that is over 2 years old.",0,
IDENTITY-001,AOM_000984,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Sheep/Adult,AOM_000983,Sheep,,,,A controlled rearing-stage category scoped to Sheep; used for records classified as “Adult”.,0,
IDENTITY-001,AOM_001001,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Goat/Adult,AOM_001000,Goat,,,,A controlled rearing-stage category scoped to Goat; used for records classified as “Adult”.,0,
IDENTITY-001,AOM_001018,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Pig/Adult,AOM_001017,Pig,,,,A controlled rearing-stage category scoped to Pig; used for records classified as “Adult”.,0,
IDENTITY-001,AOM_001044,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Chicken/Adult,AOM_001039,Chicken,,,,A controlled rearing-stage category scoped to Chicken; used for records classified as “Adult”.,0,
IDENTITY-001,AOM_001059,Adult,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Fish/Adult,AOM_001048,Fish,,,,Adults are fully grown fish that have reached sexual maturity. They are typically over three years old and are typically 20 cm or more in length.,0,
IDENTITY-002,AOM_000957,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Cattle;Buffalo/Adult/Adult Female,AOM_000956,Adult,,,,A female that has given birth.,0,
IDENTITY-002,AOM_000985,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Sheep/Adult/Adult Female,AOM_000984,Adult,,,,A controlled rearing-stage category scoped to Sheep; used for records classified as “Adult Female”.,0,
IDENTITY-002,AOM_001002,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Goat/Adult/Adult Female,AOM_001001,Adult,,,,A controlled rearing-stage category scoped to Goat; used for records classified as “Adult Female”.,0,
IDENTITY-002,AOM_001019,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Pig/Adult/Adult Female,AOM_001018,Adult,,,,An adult female pig that has farrowed a litter of piglets.,0,
IDENTITY-002,AOM_001045,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Chicken/Adult/Adult Female,AOM_001044,Adult,,,,A mature female chicken (usually more than 10 months of age),0,
IDENTITY-002,AOM_001061,Adult Female,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Fish/Adult/Adult Female,AOM_001059,Adult,,,,A controlled rearing-stage category scoped to Fish; used for records classified as “Adult Female”.,0,
IDENTITY-003,AOM_000960,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Cattle;Buffalo/Adult/Adult Male,AOM_000956,Adult,,,,"Reproductive male, typically 2 years or older.",0,
IDENTITY-003,AOM_000988,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Sheep/Adult/Adult Male,AOM_000984,Adult,,,,A controlled rearing-stage category scoped to Sheep; used for records classified as “Adult Male”.,0,
IDENTITY-003,AOM_001005,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Goat/Adult/Adult Male,AOM_001001,Adult,,,,A controlled rearing-stage category scoped to Goat; used for records classified as “Adult Male”.,0,
IDENTITY-003,AOM_001022,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Pig/Adult/Adult Male,AOM_001018,Adult,,,,"A male pig over 6 months of age that can be used for breeding. Technically this is called a boar, but the term boar is more generically applied to younger non-castrated male pigs.",0,
IDENTITY-003,AOM_001047,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Chicken/Adult/Adult Male,AOM_001044,Adult,,,,"A male chicken, typically over one year old. Also know as a rooster or cock.",0,
IDENTITY-003,AOM_001060,Adult Male,inherited,legacy_aom_concept,Management/Livestock Management/Rearing Stage/Fish/Adult/Adult Male,AOM_001059,Adult,,,,A controlled rearing-stage category scoped to Fish; used for records classified as “Adult Male”.,0,
IDENTITY-004,AOM_003006,Agroforestry Fodders,inherited,legacy_aom_concept,Management/Livestock Practices/Feed Management/Feed Addition/Agroforestry Fodders,AOM_003003,Feed Addition,,,,Feeds added to animal diets that are from agroforestry shrub or tree fodders or other woody plants.,0,
IDENTITY-004,AOM_003016,Agroforestry Fodders,inherited,legacy_aom_concept,Management/Livestock Practices/Feed Management/Feed Substitution/Agroforestry Fodders,AOM_003011,Feed Substitution,,,,Components of a basal diet fully or partially substituted for agroforestry shrub or tree fodders (woody plants).,0,
IDENTITY-005,AOM_000087,Alfalfa,inherited,legacy_aom_concept,Species/Plant/Pasture Fodder/Legume/Alfalfa,AOM_000059,Legume,,,,"Alfalfa (Medicago sativa L.) is a perennial herbaceous legume. Due to its high nutritional quality, high yields and high adaptability, alfalfa is one of the most important legume forages of the world. A major source of protein for livestock, it is a basic component in rations for dairy cattle, beef cattle, horses, sheep, goats and other classes of domestic animals (Radovic et al., 2009). It is cultivated in more than 80 countries in an area exceeding 35 million ha (Radovic et al., 2009). World production of alfalfa was around 436 million tons in 2006 (FAO, 2006). [Feedipedia]",0,
IDENTITY-005,AOM_000719,Alfalfa,inherited,legacy_aom_concept,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Alfalfa,AOM_000726,Legume Forages,,,,"A forage-plant feed material with governed identity “alfalfa”. Component, processing method, physical form, product role, integrity, composition, and constituent are unspecified at this concept level unless separately asserted.",0,
IDENTITY-006,AOM_000104,Andropogon gayanus,inherited,legacy_aom_concept,Species/Plant/Pasture Fodder/Grass/Andropogon gayanus,AOM_000058,Grass,,,,"Gamba grass (Andropogon gayanus Kunth) is a perennial leafy grass of tropical Africa. Highly productive, drought- and fire-resistant grass, it forms dense stands used for pastures, hay and cut-and-carry systems. It is relished by livestock when young (before heading) and loses its nutritional value when it matures. [Feedipedia]",0,
