concept_id,preferred_label,node_status,depth_from_process_root,current_parent_ids,current_parent_labels,current_parent_review_roles,root_direct_branch_ids,root_direct_branch_labels,direct_child_count,descendant_count,processing_method_assertion_count,processing_method_material_count,review_role,review_status,current_definition
AOM_000817,Ammonia Treatment,staging,3,AOM_000819,Alkali Treatment,process-operation,AOM_100991,Chemical feed processes,0,0,0,0,process-operation,proposed,"Ammonia treatment is a feed processing technique that involves the application of ammonia (NH3) or ammonium hydroxide (NH4OH) to raw feed materials, primarily to enhance the digestibility of fibrous components and provide an additional source of non-protein nitrogen for ruminant animals. By solubilizing hemicellulose, lignin, and other complex carbohydrates, this alkaline treatment improves the overall nutritional value of fibrous feedstuffs. Furthermore, rumen microbes can utilize the non-protein nitrogen to synthesize microbial protein, contributing to the nutritional benefits of ammonia-treated feeds. (HV GPT4)"
AOM_000818,Acid Treatment,staging,2,AOM_100991,Chemical feed processes,mechanism-grouping,AOM_100991,Chemical feed processes,0,0,0,0,process-operation,proposed,"Acid treatment is a feed processing technique that involves the application of acidic substances to raw feed materials, aiming to improve nutrient availability, digestibility, and preservation properties. This process typically uses organic or inorganic acids, such as phosphoric, sulfuric, or citric acid, which can break down complex molecules, lower pH, and inhibit microbial growth. (HV GPT4)"
AOM_000819,Alkali Treatment,staging,2,AOM_100991,Chemical feed processes,mechanism-grouping,AOM_100991,Chemical feed processes,2,2,10,10,process-operation,proposed,"Alkali treatment is an feed processing technique that involves the application of alkaline substances to raw feed materials, primarily to enhance the digestibility of fibrous components. This process typically uses alkaline agents, such as sodium hydroxide, potassium hydroxide, or ammonia, which can solubilize hemicellulose, lignin, and other complex carbohydrates, improving the overall nutritional value of fibrous feedstuffs. (HV GPT4)"
AOM_000820,Enzyme Treatment,staging,2,AOM_100990,Biological feed processes,mechanism-grouping,AOM_100990,Biological feed processes,4,6,7,7,process-operation,proposed,"Enzyme treatment is a biological feed processing technique that involves incorporating biologically derived catalysts, such as proteases, amylases, or cellulases, into raw feed materials before consumption by animals. These enzymes, typically produced by microorganisms or sourced from plants, act on specific substrates to break down complex molecules into simpler, more digestible components, enhancing nutrient availability and overall feed quality. This process is distinct from enzyme supplementation, where enzymes are added to the feed and act within the animal's digestive system after ingestion. (HV GPT4)"
AOM_000821,Cellulase Treatment,staging,4,AOM_006824,Fibrolytic Treatment,process-operation,AOM_100990,Biological feed processes,0,0,0,0,process-operation,proposed,"Cellulase treatment is a feed processing method that involves applying cellulase enzymes to raw feed materials before animal consumption. This enzymatic process breaks down cellulose present in plant-based feeds into simpler, more digestible components, thereby improving nutrient availability and overall feed quality. (HV GPT4)"
AOM_000822,Hemicellulase Treatment,staging,4,AOM_006824,Fibrolytic Treatment,process-operation,AOM_100990,Biological feed processes,0,0,0,0,process-operation,proposed,"Hemicellulase treatment: Hemicellulase treatment is a feed processing technique that incorporates hemicellulase enzymes into raw feed materials prior to ingestion by animals. These enzymes target hemicellulose, a complex carbohydrate present in plant cell walls, breaking it down into simpler components to enhance nutrient absorption and feed value. (HV GPT4)"
AOM_000823,Protease Treatment,staging,3,AOM_000820,Enzyme Treatment,process-operation,AOM_100990,Biological feed processes,0,0,0,0,process-operation,proposed,"Protease treatment: Protease treatment is a method of feed processing that utilizes protease enzymes to act on raw feed materials before they are consumed by animals. Proteases target protein molecules, breaking them into smaller peptides and amino acids, which increases protein digestibility and nutritional value of the feed. (HV GPT4)"
AOM_000824,Amylase Treatment,staging,3,AOM_000820,Enzyme Treatment,process-operation,AOM_100990,Biological feed processes,0,0,0,0,process-operation,proposed,"Amylase treatment: Amylase treatment is a feed processing approach that involves adding amylase enzymes to raw feed materials before animal consumption. Amylases break down complex carbohydrates, such as starch, into simpler sugars, which enhances energy availability and overall feed efficiency. (HV GPT4)"
AOM_000825,Phytase Treatment,staging,3,AOM_000820,Enzyme Treatment,process-operation,AOM_100990,Biological feed processes,0,0,0,0,process-operation,proposed,"Phytase treatment: Phytase treatment is a feed processing technique that incorporates phytase enzymes into raw feed materials prior to animal ingestion. Phytases target phytic acid, an anti-nutritional factor present in plant-based feeds, releasing bound phosphorus and other minerals for improved bioavailability, enhancing the nutritional value of the feed. (HV GPT4)"
AOM_000826,Thermal feed processes,staging,1,AOM_000845,Feed processes,root,AOM_000826,Thermal feed processes,6,9,0,0,mechanism-grouping,proposed,A feed process whose mechanism includes controlled heat transfer to material.
