concept_id,preferred_label,implementation_status,semantic_class,target_parent_id,status,reviewer,review_date,evidence,rationale
AOM_000531,Ingredient name,implemented-cohort-b,,,approved,Pete Steward,2026-08-16,LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000532,Ingredient part,implemented-cohort-b,,,approved,Pete Steward,2026-08-16,LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000533,Ingredient species,implemented-cohort-b,,,approved,Pete Steward,2026-08-16,LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000534,Ingredient proportion,implemented-cohort-b,,,approved,Pete Steward,2026-08-16,LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000535,Ingredient source,implemented-cohort-b,,,approved,Pete Steward,2026-08-16,LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000559,Feeds of animal origin,implemented,aom:FeedMaterial,AOM_100850,approved,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,Animal is misleading as a feed-material label; use an editorial animal-origin grouping while source taxa remain explicit.
AOM_000561,Animal Manures,hold,,AOM_101142,hold,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,Current branch label does not establish feed-material eligibility and should not inherit FeedMaterial without use evidence.
AOM_000735,Forage materials,implemented,aom:FeedMaterial,AOM_100850,approved,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;AGROVOC-FEED-CROPS;AGROVOC-FORAGE;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,Forage can derive from crops and is not a disjoint plant class. Rename to material scope and permit overlap with plant-product source navigation.
AOM_000736,Unresolved supplement classifications,implemented-structural,,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Supplement denotes use with another feed, not a material identity. Descendants require independent classification."
AOM_000737,Amino Acid,implemented-structural,,AOM_101136,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000738,Threonine,implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000739,Lysine,implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000740,Lysine - HCl,implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000743,Carboxymethyl Cellulose,hold,aom:Feed,AOM_101142,hold,Pete Steward,2026-08-12,requires-item-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_000744,Cement,hold,aom:Feed,AOM_101142,hold,Pete Steward,2026-08-12,requires-item-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_000745,Binder,implemented-structural,,,approved,Pete Steward,2026-08-12,model-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Binder already has a governed product-role value; substances require independent material/additive classification.
AOM_000746,Chromium Oxide,implemented,,AOM_101147,approved,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH;docs/decisions/0045-feed-product-kind-and-source-navigation.md;docs/methods/feed-taxonomy-governance.md,Chemical identity and marker role do not establish feed-material or additive product status.
AOM_000747,Digestibility Marker,implemented-structural,,,approved,Pete Steward,2026-08-12,model-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Digestibility marker is a study role, while chromium oxide is a substance."
AOM_000748,Asperozym (Fibrolytic Enzymes),implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000749,Axtra Phy Broiler,implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000750,Phytase,implemented,aom:FeedAdditive,,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000751,Enzyme,implemented-structural,,AOM_101137,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000753,Bicarbonate of Soda,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Sodium bicarbonate identity should be classified with mineral feed materials.
AOM_000754,Calcium,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000755,Chalk,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000756,Copper,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000757,Dicalcium Phosphate,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000758,Iodated Salt,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000759,Iodine,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000760,Lime,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000763,Manganese,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000764,Mineral Block,implemented-cohort-e,aom:FeedFormulation,AOM_101140,approved,Pete Steward,2026-08-21,docs/decisions/0049-composition-form-and-component-retention-model.md;docs/methods/composition-form-and-retention-governance.md,Distinct mineral formulation with explicit Block presentation.
AOM_000765,Maclik,implemented,aom:FeedFormulation,AOM_101140,approved,Pete Steward,2026-08-12,model-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Blocks, licks, and mixes are multi-component formulations."
AOM_000766,Mineral Lick,implemented-cohort-e,aom:FeedFormulation,AOM_101140,approved,Pete Steward,2026-08-21,docs/decisions/0049-composition-form-and-component-retention-model.md;docs/methods/composition-form-and-retention-governance.md,Distinct lick formulation; physical presentation remains unspecified.
AOM_000768,Monocalcium Phosphate,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000770,Phosphorus,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000772,Salt,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000774,Selenium,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000776,Sulphur,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000777,Tricalcium Phosphate,implemented,aom:FeedMaterial,AOM_101139,approved,Pete Steward,2026-08-12,catalogue-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000778,Zinc,hold,aom:Feed,AOM_000779,hold,Pete Steward,2026-08-12,requires-compound-and-use-evidence;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000779,Unresolved mineral classifications,implemented-structural,,AOM_101142,approved,Pete Steward,2026-08-12,authority-supported;docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,"Mineral identity alone does not determine material, additive, formulation, or constituent role."
