concept_id,preferred_label,prior_blocker,decision,status,governed_source_identity,component_scope,process_scope,reviewer,review_date,evidence,rationale
AOM_000538,Bone Ash,narrower_table_scope,approve_bounded_workbook_material_scope,approved,bone,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000540,Bone,narrower_table_scope,approve_bounded_workbook_material_scope,approved,Bone,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000571,Maize Offal,granularity_mismatch,approve_bounded_workbook_material_scope,approved,maize,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000577,Rice Offal,granularity_mismatch,approve_bounded_workbook_material_scope,approved,rice,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000578,Rice Polish,granularity_mismatch,approve_bounded_workbook_material_scope,approved,rice,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000589,Wheat Offal,granularity_mismatch,approve_bounded_workbook_material_scope,approved,wheat,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000603,Fava Bean Haulm,granularity_mismatch,approve_bounded_workbook_material_scope,approved,fava bean,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000654,Millet,source_material_distinction,approve_bounded_workbook_material_scope,approved,Millet,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000671,Palm Oil,source_material_distinction,approve_bounded_workbook_material_scope,approved,palm,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_000706,Acacia tortilis,granularity_mismatch,approve_bounded_workbook_material_scope,approved,Acacia tortilis,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001166,Opuntia ficus indica,source_material_distinction,approve_bounded_workbook_material_scope,approved,Opuntia ficus indica,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001190,Noug,granularity_mismatch,approve_bounded_workbook_material_scope,approved,Noug,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001265,Ziziphus mauritiania,material_scope_unresolved,approve_bounded_workbook_material_scope,approved,Ziziphus mauritiania,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001282,Enset,source_material_distinction,approve_bounded_workbook_material_scope,approved,Enset,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001317,Soybean Full Fat,composition_state_distinction,approve_bounded_workbook_material_scope,approved,soybean,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001373,Cellulose,granularity_mismatch,approve_bounded_workbook_material_scope,approved,cellulose,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
AOM_001380,Andropogon gayanus,narrower_table_scope,approve_bounded_workbook_material_scope,approved,Andropogon gayanus,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,"Canonical AOM identity and hierarchy establish operational feed-material scope. Definition must not infer plant part, whole-material integrity, process, form, composition, or nutrition beyond explicit facets."
