concept_id,preferred_label,review_axis,review_role,current_parent_ids,recommended_disposition,proposed_label,proposed_parent_or_axis,recommended_semantic_action,mapping_candidate,evidence_ids,status,blocking_question,rationale,reviewer,review_date
AOM_101132,Feed bulk consistencies,bulk-consistency,bulk-consistency-axis-root,AOM_000328,retain-and-reparent,,unallocated Feed physical descriptors,Place beneath proposed Feed physical descriptors navigation while preserving aom:bulkConsistency.,,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,approved,,Bulk flow and dispersion are categorical physical descriptors independent of particle presentation and moisture condition.,Codex,2026-08-21
AOM_101077,Liquid consistency,bulk-consistency,bulk-consistency-value,AOM_101132,retain-distinct-consistency,,AOM_101132 Feed bulk consistencies,Retain current stable ID and sharpen definition without inferring moisture amount or processing method.,,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,approved,,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.,Codex,2026-08-21
AOM_101078,Pulp consistency,bulk-consistency,bulk-consistency-value,AOM_101132,retain-distinct-consistency,,AOM_101132 Feed bulk consistencies,Retain current stable ID and sharpen definition without inferring moisture amount or processing method.,,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,approved,,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.,Codex,2026-08-21
AOM_101118,Slurry consistency,bulk-consistency,bulk-consistency-value,AOM_101132,retain-distinct-consistency,,AOM_101132 Feed bulk consistencies,Retain current stable ID and sharpen definition without inferring moisture amount or processing method.,,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,approved,,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.,Codex,2026-08-21
AOM_101115,Native-component retention states,component-retention,component-retention-axis-root,AOM_000328,retain-and-rename,Feed component-retention states,AOM_000328 Feed Characteristic,Keep positive retained-component states independent of measured composition and negative absence-of-process categories.,,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,approved,,Axis records what native component remains; it should not encode measured quantity or merely lack of defatting.,Codex,2026-08-21
AOM_101134,Native-fat-retained composition,component-retention,native-fat-retention,AOM_101115,retain-rename-and-repredicate,Native-fat retention,AOM_101115 Feed component-retention states,Rename and migrate three relevant materials to aom:componentRetentionState while retaining positive aom:retainsChemicalConstituent fat relation.,,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,approved,,Positive native-fat retention is component retention; it is not measured fat content and does not merely assert absence of defatting.,Codex,2026-08-21
AOM_101086,Whole-crop composition,component-retention,whole-crop-retention,AOM_101115,retain-and-rename,Whole-crop component retention,AOM_101115 Feed component-retention states,Retain stable ID and current componentRetentionState assertion; make component-retention meaning explicit in label.,,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,approved,,"Whole-crop describes retained harvested scope, not measured chemical composition.",Codex,2026-08-21
AOM_101110,Whole-grain composition,component-retention,whole-grain-retention,AOM_101115,retain-and-rename,Whole-grain component retention,AOM_101115 Feed component-retention states,"Retain stable ID and current componentRetentionState assertions; preserve positive retained Bran, plant embryo, and Endosperm relations.",,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,approved,,Whole-grain integrity remains true after grinding and must not be treated as presentation or measured composition.,Codex,2026-08-21
AOM_101116,Whole-milk composition,component-retention,whole-milk-state,AOM_101115,deprecate-after-migration,,replace with AOM_101134 Native-fat retention,"Move current Whole Milk assertion to Native-fat retention when purpose is retained milk fat, then publish replacement history and retire product-specific state.",,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048;EU-CATALOGUE,approved,,Whole Milk product identity already conveys whole product; current state has one use and its only governed retained-component relation is fat.,Codex,2026-08-21
AOM_101080,Ash constituent,dual-use-constituent,analytical-residue-misclassified-as-constituent,AOM_101023,deprecate-category-error,,replace analytical use with AOM_000226 Ash,Remove Bone Ash primaryConstituent assertion; use AOM_000226 Ash for measured ash characteristic and explicit mineral identities when known.,,LOCAL-GRAPH;AOM-SCHEMA;FAO-ASH;FEEDIPEDIA-GLOSSARY,approved,,"Ash is analytical residue after incineration, not one chemical constituent; Bone Ash to Ash constituent is also identity-tautological.",Codex,2026-08-21
