concept_id,scheme_id,concept_type,preferred_label,source_notation,parent_id,direct_child_count,same_label_child_ids,reviewed_role,guided_disposition,proposed_scoped_collection_label,target_leaf_id,recommendation_status,evidence_ids,rationale
era:outcome:indicator:001,era:scheme:outcome,indicator,Product Yield,PY,era:outcome:subpillar:001,11,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:002,era:scheme:outcome,indicator,Feed Intake,FI,era:outcome:subpillar:002,1,era:outcome:400.0,editorial-navigation,collection-with-scoped-label,Feed Intake outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:003,era:scheme:outcome,indicator,Non-Product Yield,NPY,era:outcome:subpillar:001,1,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:004,era:scheme:outcome,indicator,Income,In,era:outcome:subpillar:003,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:005,era:scheme:outcome,indicator,Costs,Co,era:outcome:subpillar:003,13,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:006,era:scheme:outcome,indicator,Economic Performance,EP,era:outcome:subpillar:003,15,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:007,era:scheme:outcome,indicator,Biodiversity,Bd,era:outcome:subpillar:004,2,era:outcome:203.0,editorial-navigation,collection-with-scoped-label,Biodiversity outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:008,era:scheme:outcome,indicator,Pest & Pathogen,PP,era:outcome:subpillar:004,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:009,era:scheme:outcome,indicator,Soil Quality,SQ,era:outcome:subpillar:004,14,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:010,era:scheme:outcome,indicator,Yield Stability,YS,era:outcome:subpillar:004,1,era:outcome:270.0,editorial-navigation,collection-with-scoped-label,Yield Stability outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:011,era:scheme:outcome,indicator,Animal Survival,AS,era:outcome:subpillar:004,2,era:outcome:236.1,editorial-navigation,collection-with-scoped-label,Animal Survival outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:012,era:scheme:outcome,indicator,Efficiency,Ef,era:outcome:subpillar:005,31,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:013,era:scheme:outcome,indicator,Gender Equity,GE,era:outcome:subpillar:006,4,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:014,era:scheme:outcome,indicator,Labour,La,era:outcome:subpillar:006,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:015,era:scheme:outcome,indicator,Emissions,Em,era:outcome:subpillar:007,5,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:016,era:scheme:outcome,indicator,Carbon Stocks,CS,era:outcome:subpillar:008,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:017,era:scheme:outcome,indicator,Costs,CkCo,era:outcome:subpillar:009,1,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:indicator:018,era:scheme:outcome,indicator,Fuel Efficiency,FE,era:outcome:subpillar:009,4,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:pillar:001,era:scheme:outcome,pillar,Productivity,Productivity,,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:pillar:002,era:scheme:outcome,pillar,Other,Other,,1,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:pillar:003,era:scheme:outcome,pillar,Resilience,Resilience,,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:pillar:004,era:scheme:outcome,pillar,Mitigation,Mitigation,,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:001,era:scheme:outcome,subpillar,Yield,Yi,era:outcome:pillar:001,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:002,era:scheme:outcome,subpillar,Livestock Diet,Li,era:outcome:pillar:002,1,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:003,era:scheme:outcome,subpillar,Economics,Ec,era:outcome:pillar:001,3,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:004,era:scheme:outcome,subpillar,Physical,Ph,era:outcome:pillar:003,5,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:005,era:scheme:outcome,subpillar,Efficiency,Ef,era:outcome:pillar:003,1,era:outcome:indicator:012,editorial-navigation,collection-with-scoped-label,Efficiency outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:006,era:scheme:outcome,subpillar,Social,So,era:outcome:pillar:003,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:007,era:scheme:outcome,subpillar,Emissions,Em,era:outcome:pillar:004,1,era:outcome:indicator:015,editorial-navigation,collection-with-scoped-label,Emissions outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:008,era:scheme:outcome,subpillar,Carbon Stocks,CS,era:outcome:pillar:004,1,era:outcome:indicator:016,editorial-navigation,collection-with-scoped-label,Carbon Stocks outcomes,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:outcome:subpillar:009,era:scheme:outcome,subpillar,Cookstove,Ck,era:outcome:pillar:004,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:practice:001,era:scheme:practice,practice,FMNR,FMNR,era:practice:theme:001,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:002,era:scheme:practice,practice,Alleycropping,Al,era:practice:theme:001,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:003,era:scheme:practice,practice,Parklands,Pa,era:practice:theme:001,2,era:practice:a8,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:a8,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:004,era:scheme:practice,practice,Boundary Planting,BP,era:practice:theme:001,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:005,era:scheme:practice,practice,Silvopasture,Si,era:practice:theme:001,2,era:practice:a11,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:a11,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:006,era:scheme:practice,practice,Multistrata Agroforestry,MA,era:practice:theme:001,1,era:practice:a12,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:a12,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
