target_uri,target_label,language,status,reviewer,review_date,evidence,rationale
https://www.feedipedia.org/node/214,Poultry by-product meal,en,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Current Feedipedia page heading frozen for browser display only; does not change mapping relation.
https://www.feedipedia.org/node/12474,Poultry offal meal,en,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/12474,Current Feedipedia page heading frozen for browser display only; does not change mapping relation.
https://www.ebi.ac.uk/chebi/CHEBI%3A24431,chemical entity,en,approved,Pete Steward,2026-08-20,ChEBI record accessed 2026-08-20,Pinned authority label recorded for browser display and mapping audit.
https://www.ebi.ac.uk/chebi/CHEBI%3A59999,chemical substance,en,approved,Pete Steward,2026-08-20,ChEBI record accessed 2026-08-20,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/FOODON_03420288,seed bran,en,approved,Pete Steward,2026-08-20,FoodOn commit c5035015de540ba4f4210fd0e24d3909d6fb2037,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0004518,bark,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025356,bulb,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025354,cladode,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025355,corm,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009089,endosperm,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009046,flower,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009001,fruit,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009009,plant embryo,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025034,leaf,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025248,pseudostem,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0004542,rhizome,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009005,root,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009010,seed,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025066,stalk,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0009047,stem,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/PO_0025522,tuber,en,approved,Pete Steward,2026-08-20,Plant Ontology commit 94750e01c897da6955c2fef97379f4d99cb333a8,Pinned authority label recorded for browser display and mapping audit.
http://purl.obolibrary.org/obo/UBERON_0002107,liver,en,approved,Pete Steward,2026-08-20,Uberon commit 1d91869610a93335203dc931a224302f42e8c530,Pinned authority label recorded for browser display and mapping audit.
