source_sheet,source_row,source_id,source_label,authority,authority_id,authority_uri,authority_label,match_signal,recommended_disposition,status,claim_boundary,evidence_id
out,51,out:217,Erosion,ENVO imported through AgrO,ENVO_01001346,http://purl.obolibrary.org/obo/ENVO_01001346,erosion,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out,53,out:223,Soil Organic Matter,ENVO imported through AgrO,ENVO_04000008,http://purl.obolibrary.org/obo/ENVO_04000008,soil organic matter,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,7,out_econ:row:7,Inorganic Fertilizer,AgrO,AGRO_00002040,http://purl.obolibrary.org/obo/AGRO_00002040,inorganic fertilizer,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,8,out_econ:row:8,Organic Fertilizer,AgrO,AGRO_00002039,http://purl.obolibrary.org/obo/AGRO_00002039,organic fertilizer,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,10,out_econ:row:10,Mulch,AgrO,AGRO_00000092,http://purl.obolibrary.org/obo/AGRO_00000092,mulch,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,12,out_econ:row:12,Biochar,AgrO,AGRO_00020002,http://purl.obolibrary.org/obo/AGRO_00020002,biochar,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,12,out_econ:row:12,Biochar,ENVO imported through AgrO,ENVO_2000007,http://purl.obolibrary.org/obo/ENVO_2000007,biochar,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,13,out_econ:row:13,Plastic Mulch,AgrO,AGRO_00000093,http://purl.obolibrary.org/obo/AGRO_00000093,plastic mulch,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,17,out_econ:row:17,Fungicide,ChEBI imported through AgrO,CHEBI_24127,http://purl.obolibrary.org/obo/CHEBI_24127,fungicide,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,28,out_econ:row:28,Fuel,ChEBI imported through AgrO,CHEBI_33292,http://purl.obolibrary.org/obo/CHEBI_33292,fuel,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
out_econ,51,out_econ:row:51,Tillage,AgrO,AGRO_01000015,http://purl.obolibrary.org/obo/AGRO_01000015,tillage,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,8,prac:a8.1,Scattered Trees,AgrO,AGRO_00010164,http://purl.obolibrary.org/obo/AGRO_00010164,scattered trees,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,11,prac:a11,Silvopasture,AgrO,AGRO_00000580,http://purl.obolibrary.org/obo/AGRO_00000580,silvopasture,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,13,prac:a12,Multistrata Agroforestry,AgrO,AGRO_00000581,http://purl.obolibrary.org/obo/AGRO_00000581,multistrata agroforestry,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,46,prac:d16,Rotational Grazing,AgrO,AGRO_00000430,http://purl.obolibrary.org/obo/AGRO_00000430,rotational grazing,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,49,prac:d19,Controlled Grazing,AgrO,AGRO_00000434,http://purl.obolibrary.org/obo/AGRO_00000434,controlled grazing,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,62,prac:b54,Supplemental Irrigation,AgrO,AGRO_00000588,http://purl.obolibrary.org/obo/AGRO_00000588,supplemental irrigation,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,97,prac:c4,Biofertilizer,AgrO,AGRO_00020001,http://purl.obolibrary.org/obo/AGRO_00020001,biofertilizer,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,115,prac:b68,Dam,ENVO imported through AgrO,ENVO_00000074,http://purl.obolibrary.org/obo/ENVO_00000074,dam,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,122,prac:b58,Trench,ENVO imported through AgrO,ENVO_01000649,http://purl.obolibrary.org/obo/ENVO_01000649,trench,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,124,prac:h2,Monoculture,AgrO,AGRO_00000481,http://purl.obolibrary.org/obo/AGRO_00000481,monoculture,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,138,prac:b23,Urea,ChEBI imported through AgrO,CHEBI_16199,http://purl.obolibrary.org/obo/CHEBI_16199,urea,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,139,prac:b29,Compost,ENVO imported through AgrO,ENVO_00002170,http://purl.obolibrary.org/obo/ENVO_00002170,compost,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
prac,164,prac:b26,Plastic Mulch,AgrO,AGRO_00000093,http://purl.obolibrary.org/obo/AGRO_00000093,plastic mulch,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT
