rule_id,dimension,source_pattern,normalized_value,matched_concept_count,ingredient_family_count,sample_concepts,risk,recommendation,required_guard,rationale,approval_status,reviewer,review_date
PROCESS-ALKALI_TREATED,process,alkali treated,Alkali treatment,10,2,AOM_006217: Citrus Pulp Alkali Treated Dried Fermented | AOM_006219: Delonix regia Seed Alkali Treated Dried Fermented Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-AUTOCLAVED,process,autoclaved,Autoclaving,3,2,AOM_001951: Sesame Seed Cake Autoclaved Dried Ground | AOM_001583: Soybean Autoclaved Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-BOILED,process,boiled,Boiling,18,5,AOM_001925: Fish Boiled Dried Ground | AOM_002079: Egg Boiled Dried Ground | AOM_006052: Cashew Shell Boiled Crushed | AOM_002035: Cassava Tuber Boiled Dried Ground | AOM_003920: Hevea brasiliensis Seed Cake Boiled Dried Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-CHOPPED,process,chopped,Chopping,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
PROCESS-CRACKED,process,cracked,Cracking,1,1,AOM_002108: Maize Cracked,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-CRUSHED,process,crushed,Crushing,39,4,AOM_006363: Bone Crushed | AOM_006052: Cashew Shell Boiled Crushed | AOM_000647: Barley Grain Crushed | AOM_006017: Acacia brevispica Leaves Crushed Dried,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-DEFATTED,process,defatted,Defatting,8,2,AOM_001361: Soybean Flakes Defatted | AOM_001970: Jatropha curcas Cake Defatted Dried Ground,high,hold-model-gap,Do not infer an extraction or separation operation from reduced-fat composition wording.,Defatted directly describes composition state; exact operation requires material-specific evidence.,proposed-for-bulk-review,,
PROCESS-DRIED,process,dried,Drying,398,9,AOM_001605: African Palm Larvae Dried Ground | AOM_002079: Egg Boiled Dried Ground | AOM_001094: Chicken Manure Dried | AOM_006320: African Yam Bean Dried Ground | AOM_006158: Black Cumin Seed Cake Crushed Dried,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-ENSILED,process,ensiled,Ensiling,70,4,AOM_002006: Fish Ensiled | AOM_006361: Baby Corn Stalk Ensiled | AOM_006072: Maize Whole Ensiled | AOM_001592: Acacia angusitissima Leaves Dried Ensiled,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-ENZYME_TREATED,process,enzyme treated,Enzyme treatment,7,1,AOM_006215: Cassava Peel Enzyme Treated Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
