concept_id,legacy_edge_label,governed_preferred_label,harmonization_source,impact,status
AOM_000564,Brewers Grain,"Brewers grains, dehydrated",governed-preferred-label,decomposition-changed,applied-to-workbench
AOM_000656,Whole Rice Ground,Ground whole-grain rice,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_000660,Wheat Whole Ground,Ground whole-grain wheat,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_000736,Supplement,Unresolved supplement classifications,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_000779,Mineral,Unresolved mineral classifications,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_000781,Other Ingredients,Unresolved other-ingredient classifications,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_000795,Mixture,Mineral and vitamin feed mixtures,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001265,Ziziphus mauritiania,Ziziphus mauritiana,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001313,Maize Whole,Whole-grain maize,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001324,Maize Whole Ground,Ground whole-grain maize,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001326,Maize Ensiled,Whole-crop maize silage,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001459,Bothriochloa Dried,Bothriochloa dried,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001462,Cynadon dactylon,Cynodon dactylon,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001491,Preformulated Feed,Formulated feeds,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001832,Starch,Starch feed material,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_001898,Bothriocloa Dried,Bothriochloa dried,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_002090,Harissonia abyssinica Leaves,Harrisonia abyssinica leaves,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_003206,Poultry byproduct,Poultry by-products,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_003960,Green Bean Vine,Common bean vine,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_003981,Ziziphus jujube Leaves,Ziziphus jujuba leaves,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_004433,Anti-coccidia,Coccidiostats and histomonostats,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_006334,Protected Fat,Rumen-protected fat feed materials,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_006373,Ficus gnaphalocarpa Leaves and Twigs,Ficus exasperata leaves and twigs,governed-preferred-label,identity-text-corrected,applied-to-workbench
AOM_006500,Mucuna pruriens Seed Boiled Dried Ground,Mucuna pruriens Seed Boiled Decorticated Dried Ground Soaked,governed-preferred-label,decomposition-changed,applied-to-workbench
