"concept_id","preferred_label","review_role","recommended_disposition","recommended_mechanisms","recommended_technical_objectives","possible_intended_feed_benefits","recommended_semantic_action","evidence_ids","status","blocking_question","rationale","reviewer","review_date"
"AOM_000845","Feed processes","root","retain-root","","","","Keep as process-operation vocabulary root; exclude mechanism and objective grouping concepts from material processingMethod values.","LOCAL-GRAPH;FOODON-TRANSFORMATION;FOODON-STRUCTURE;OBI-CORE","proposed","","One operation identity may have several mechanisms objectives outputs and contextual benefits.","Codex","2026-08-18"
"AOM_100990","Biological feed processes","mechanism-grouping","retain-mechanism-grouping","Biological","","","Represent as governed mechanism category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Biological describes how transformation occurs rather than why process is applied.","Codex","2026-08-18"
"AOM_100991","Chemical feed processes","mechanism-grouping","retain-mechanism-grouping","Chemical","","","Represent as governed mechanism category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Chemical describes mechanism and must remain separate from technical objective and benefit.","Codex","2026-08-18"
"AOM_000837","Mechanical feed processes","mechanism-grouping","retain-mechanism-grouping","Mechanical","","","Represent as governed mechanism category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042","proposed","","Mechanical force may serve reduction separation shaping or other objectives.","Codex","2026-08-18"
"AOM_000826","Thermal feed processes","mechanism-grouping","retain-mechanism-grouping","Thermal","","","Represent as governed mechanism category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042","proposed","","Heat transfer is mechanism and does not imply one nutritional or preservation purpose.","Codex","2026-08-18"
"AOM_101129","Feed particle-size reduction processes","technical-objective-grouping","retain-objective-grouping","","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Represent as technical-objective category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042","proposed","","Particle-size reduction is direct technical objective not mechanical mechanism or guaranteed nutritional effect.","Codex","2026-08-18"
"AOM_101130","Feed component separation processes","technical-objective-grouping","retain-objective-grouping","","Component separation or fraction recovery","Composition tailoring;Process-output recovery","Represent as technical-objective category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0044","proposed","","Separation describes direct objective shared by mechanical thermal solvent and other operations.","Codex","2026-08-18"
"AOM_101131","Feed shaping and agglomeration processes","technical-objective-grouping","retain-objective-grouping","","Shaping or agglomeration","Handling or mixing improvement;Palatability or intake improvement","Represent as technical-objective category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;FOODON-PROCESS-TABLE;ADR-0042","proposed","","Shaping is objective achieved by operations such as pelleting and extrusion.","Codex","2026-08-18"
"AOM_000842","Moisture-removal feed processes","technical-objective-grouping","retain-objective-grouping","","Moisture reduction","Preservation or storage-stability improvement;Handling improvement","Represent as technical-objective category and browser projection; never use as material processingMethod value.","LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042","proposed","","Moisture reduction may use natural thermal osmotic pressure or other mechanisms.","Codex","2026-08-18"
"AOM_000818","Acid Treatment","process-operation","retain-process","Chemical","Constituent transformation","Digestibility improvement;Preservation or storage-stability improvement;Safety improvement","Replace benefit-heavy definition with operation scope; assert only definitional mechanism and objective.","LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Acid treatment may change pH or constituents but specific benefit depends on agent dose material and process conditions.","Codex","2026-08-18"
"AOM_000819","Alkali Treatment","process-operation","retain-process","Chemical","Constituent transformation","Digestibility improvement;Antinutritional-factor reduction","Replace benefit-heavy definition with operation scope; retain narrower ammonia and urea treatments.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Alkali treatment changes chemical structure; digestibility response remains contextual.","Codex","2026-08-18"
"AOM_000817","Ammonia Treatment","process-operation","retain-process","Chemical","Constituent transformation;Component addition or application","Digestibility improvement;Nutrient availability improvement","Represent ammonia application separately from claimed nutritional outcome.","LOCAL-GRAPH;EU-FEED-PROCESSES","proposed","","Application and chemical action are direct process facts; nitrogen and digestibility effects require context.","Codex","2026-08-18"
"AOM_100848","Urea Treatment","process-operation","retain-process","Chemical;Enzymatic or biochemical","Constituent transformation;Component addition or application","Digestibility improvement;Nutrient availability improvement","Allow more than one mechanism; do not encode nutritional improvement as universal process meaning.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES","proposed","","Urea treatment can depend on urease-mediated ammonia formation and subsequent chemical action.","Codex","2026-08-18"
"AOM_003202","Molasses Treatment","process-operation","reclassify-mechanism","Unspecified at generic level","Component addition or application","Palatability or intake improvement;Dust reduction;Fermentation support","Remove Chemical parent; retain operation only when molasses application is explicit.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE","proposed","","Adding molasses is not itself chemical transformation; mixing or coating method may vary.","Codex","2026-08-18"
"AOM_000820","Enzyme Treatment","process-operation","reclassify-mechanism","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Move from broad Biological mechanism to explicit enzymatic or biochemical mechanism.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE","proposed","","Enzymes catalyse molecular transformation; benefit depends on enzyme substrate dose and feed context.","Codex","2026-08-18"
"AOM_000824","Amylase Treatment","process-operation","retain-process","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain beneath Enzyme Treatment and inherit enzymatic mechanism only.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Substrate-specific enzyme treatment remains process operation rather than benefit category.","Codex","2026-08-18"
"AOM_000821","Cellulase Treatment","process-operation","retain-process","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain beneath Fibrolytic Treatment and inherit enzymatic mechanism only.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Cellulose transformation is direct objective; improved animal response is not universal.","Codex","2026-08-18"
"AOM_000822","Hemicellulase Treatment","process-operation","retain-process","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain beneath Fibrolytic Treatment and inherit enzymatic mechanism only.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Hemicellulose transformation is direct objective; improved animal response is not universal.","Codex","2026-08-18"
"AOM_000823","Protease Treatment","process-operation","retain-process","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain beneath Enzyme Treatment and inherit enzymatic mechanism only.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Protein hydrolysis is direct transformation; digestibility effect requires evidence.","Codex","2026-08-18"
