case_id,concept_ids,decision,retained_id,status,reviewer,review_date,evidence,rationale
CLUSTER-BOTHRIOCHLOA,AOM_001459;AOM_001898,deprecate_replace,AOM_001459,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Corrected labels taxon mappings and public mappings coincide; no distinguishing definition exists.
CLUSTER-COTTON,AOM_001312;AOM_003973,hold_identity,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Product versus by-product hierarchy and CPC granularity remain ambiguous.
CLUSTER-MAIZE-GROUND,AOM_001324;AOM_001679,retain_distinct,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Ground whole-grain maize has explicit integrity; generic maize grain ground does not.
CLUSTER-MAIZE-GRAIN,AOM_000649;AOM_001313,retain_distinct,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole-grain maize has explicit integrity; generic maize grain does not.
CLUSTER-MILK,AOM_000555;AOM_000556,retain_distinct,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk has explicit composition state; generic milk does not.
CLUSTER-RICE-GROUND,AOM_000656;AOM_006156,retain_distinct,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Ground whole-grain rice has explicit integrity; generic rice grain ground does not.
CLUSTER-WHEAT-GROUND,AOM_000660;AOM_002017,retain_distinct,,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Ground whole-grain wheat has explicit integrity; generic wheat grain ground does not.
CLUSTER-BAMBARA-OFFAL,AOM_003207;AOM_003208,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Bambara groundnut offal has explicit by-product role; generic Bambara groundnut does not.
CLUSTER-FISH-OIL,AOM_000544;AOM_000549,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Fish oil has explicit oil constituent; generic fish does not.
CLUSTER-MAIZE-STARCH,AOM_000648;AOM_001289,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Maize starch has explicit starch constituent; generic maize does not.
CLUSTER-MAIZE-OIL,AOM_000648;AOM_000651,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Maize oil has explicit oil constituent; generic maize does not.
CLUSTER-SUNFLOWER-OIL,AOM_000673;AOM_000674,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Sunflower oil has explicit oil constituent; generic sunflower does not.
CLUSTER-SOYBEAN-OIL,AOM_001582;AOM_001586,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Soybean oil has explicit oil constituent; generic soybean does not.
CLUSTER-MAIZE-DERIVATIVES,AOM_000648;AOM_000651;AOM_001289,retain_distinct,,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Generic maize remains distinct from oil and starch materials carrying explicit constituent assertions.
