candidate_id,candidate_label,semantic_role,proposed_owner,external_alignment,status,prerequisite_or_boundary,evidence_ids
SC-01,Agricultural practice concept,Reusable intervention type identity,aom-core-candidate,AgrO candidate,proposed,Compare crop and livestock practice identity before promotion.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-02,Practice application,Occurrence applying a practice to a managed system,aom-core-candidate,PROV/SOSA alignment review,proposed,"Define actor, target, time, location, and applied practice.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-03,Experimental role,Role borne by study arms or applied conditions,aom-core-candidate,OBI alignment review,proposed,Generalize beyond feed-specific ExperimentalFeedRole.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-04,Treatment role,Intervention role in a comparison,aom-core-candidate,OBI alignment review,proposed,Keep separate from agricultural practice identity.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-05,Comparator or control role,"Comparator, control, or reference role in a study",aom-core-candidate,OBI alignment review,proposed,Do not encode role into preferred practice label.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-06,Baseline condition,Observed or assigned pre-intervention condition,aom-core-candidate,SOSA/OBI alignment review,held,"Distinguish absence, conventional management, and measured baseline.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-07,Outcome property specification,Observable or derived property being estimated,aom-core-candidate,sosa:Property,proposed,Use current SOSA Property rather than deprecated ObservableProperty.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-08,Observation procedure,Method or protocol used to obtain result,aom-core-candidate,sosa:Procedure,proposed,Needed to distinguish same property measured by different methods.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-09,Derived measure specification,Formula combining measured or supplied quantities,aom-core-candidate,SOSA plus ERA derivation model,proposed,"Record numerator, denominator, formula, and interpretation.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-10,Feature of interest,Entity whose property is observed,aom-core-candidate,sosa:FeatureOfInterest,proposed,"Keep crop, animal, soil, farm, plot, product, and household context explicit.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-11,Quantity and unit profile,"Quantity kind, unit, scale, and denominator basis",aom-core-candidate,QUDT,proposed,"Example-unit strings are evidence, not final bindings.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-12,Reporting collection,"Editorial pillar, subpillar, indicator, or theme grouping",aom-core-candidate,skos:Collection,proposed,Membership must not imply inherent semantic broader relation.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-13,Economic measure specification,"Economic property such as cost, income, or value",aom-core-candidate,SOSA/QUDT plus accounting authorities,proposed,"Bind currency, time, object, transaction, basis, and valuation method.",E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-14,Cost or benefit classification,Accounting or analytical classification borne in context,aom-core-candidate,FSDN/SEEA-AFF,held,Category may vary by accounting treatment and must not become intrinsic identity automatically.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
SC-15,Module assignment,"Governed placement of identity in crop, livestock, core, or other product",mappings-or-governance,ERA ADR 0051,proposed,Energy and genuinely cross-domain rows require explicit routing.,E-SKOS;E-SOSA;E-CROP-ONTOLOGY;E-AUTH-AGRO-SNAPSHOT;E-QUDT
