concept_id,preferred_label,feedipedia_url,retrieved_on,http_status,final_url,page_title,page_heading,page_kind,shared_mapping_count,warning_detected,lexical_relation,evidence_disposition,retrieval_error,rationale
AOM_000538,Bone Ash,https://www.feedipedia.org/node/11876,2026-08-06,200,https://www.feedipedia.org/node/11876,"Bone meal, raw | Feedipedia","Bone meal, raw",shared_feed_page,2,false,different_label_or_scope,hold_shared_page_scope_review,,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000540,Bone,https://www.feedipedia.org/node/11876,2026-08-06,200,https://www.feedipedia.org/node/11876,"Bone meal, raw | Feedipedia","Bone meal, raw",shared_feed_page,2,false,feedipedia_scope_narrower,hold_shared_page_scope_review,,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000542,Crustacean,https://www.feedipedia.org/node/8215,2026-08-06,200,https://www.feedipedia.org/node/8215,Crustacean nutritive values | Feedipedia,Crustacean nutritive values,feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000544,Fish Oil,https://www.feedipedia.org/node/12094,2026-08-06,200,https://www.feedipedia.org/node/12094,Fish oil | Feedipedia,Fish oil,feed_page,1,false,lexically_exact,candidate_manual_definition_review,,"Labels align, but source/component/process assertions still require governed review."
AOM_000549,Fish,https://www.feedipedia.org/node/11685,2026-08-06,200,https://www.feedipedia.org/node/11685,"Fish meal, type 70 protein | Feedipedia","Fish meal, type 70 protein",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000557,Oyster Shells,https://www.feedipedia.org/node/736,2026-08-06,200,https://www.feedipedia.org/node/736,Seashells and coral | Feedipedia,Seashells and coral,warned_page,2,true,different_label_or_scope,hold_source_warning,,Source carries an under-construction or do-not-quote warning.
AOM_000558,Shell,https://www.feedipedia.org/node/736,2026-08-06,200,https://www.feedipedia.org/node/736,Seashells and coral | Feedipedia,Seashells and coral,warned_page,2,true,feedipedia_scope_narrower,hold_source_warning,,Source carries an under-construction or do-not-quote warning.
AOM_000571,Maize Offal,https://www.feedipedia.org/node/12280,2026-08-06,200,https://www.feedipedia.org/node/12280,Maize bran | Feedipedia,Maize bran,feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000577,Rice Offal,https://www.feedipedia.org/node/11637,2026-08-06,200,https://www.feedipedia.org/node/11637,"Rice bran, fibre 11-20% | Feedipedia","Rice bran, fibre 11-20%",feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000578,Rice Polish,https://www.feedipedia.org/node/12526,2026-08-06,200,https://www.feedipedia.org/node/12526,"Rice grain, polished | Feedipedia","Rice grain, polished",feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000589,Wheat Offal,https://www.feedipedia.org/node/12751,2026-08-06,200,https://www.feedipedia.org/node/12751,Wheat bran | Feedipedia,Wheat bran,feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000601,Cowpea Haulm,https://www.feedipedia.org/node/17446,2026-08-06,200,https://www.feedipedia.org/node/17446,"Cowpea (Vigna unguiculata), haulms | Feedipedia","Cowpea (Vigna unguiculata), haulms",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000603,Fava Bean Haulm,https://www.feedipedia.org/node/19702,2026-08-06,200,https://www.feedipedia.org/node/19702,"Faba bean (Vicia faba), aerial part, fresh | Feedipedia","Faba bean (Vicia faba), aerial part, fresh",feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000605,Groundnut Hull,https://www.feedipedia.org/node/12155,2026-08-06,200,https://www.feedipedia.org/node/12155,Peanut hulls | Feedipedia,Peanut hulls,feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000615,Legume ByProducts,https://www.feedipedia.org/node/13596,2026-08-06,200,https://www.feedipedia.org/node/13596,Legume seeds and by-products | Feedipedia,Legume seeds and by-products,feed_page,1,false,different_label_or_scope,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000628,Oil Plant ByProducts,https://www.feedipedia.org/content/feeds?category=13598,2026-08-06,200,https://www.feedipedia.org/content/feeds?category=13598,List of feeds | Feedipedia,List of feeds,category_list,1,false,different_label_or_scope,hold_category_not_concept,,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000632,Hops,https://www.feedipedia.org/node/12633,2026-08-06,200,https://www.feedipedia.org/node/12633,"Spent hops (Humulus lupulus), dehydrated | Feedipedia","Spent hops (Humulus lupulus), dehydrated",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000642,Sugarcane Molasses,https://www.feedipedia.org/node/12341,2026-08-06,200,https://www.feedipedia.org/node/12341,Sugarcane molasses | Feedipedia,Sugarcane molasses,feed_page,1,false,lexically_exact,candidate_manual_definition_review,,"Labels align, but source/component/process assertions still require governed review."
AOM_000644,Sugar Processing ByProducts,https://www.feedipedia.org/content/feeds?category=13603,2026-08-06,200,https://www.feedipedia.org/content/feeds?category=13603,List of feeds | Feedipedia,List of feeds,category_list,1,false,different_label_or_scope,hold_category_not_concept,,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000648,Maize,https://www.feedipedia.org/node/11662,2026-08-06,200,https://www.feedipedia.org/node/11662,"Maize grain, Subsaharan and East Africa | Feedipedia","Maize grain, Subsaharan and East Africa",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000654,Millet,https://www.feedipedia.org/node/11688,2026-08-06,200,https://www.feedipedia.org/node/11688,"Pearl millet, grain | Feedipedia","Pearl millet, grain",shared_feed_page,2,false,feedipedia_scope_narrower,hold_shared_page_scope_review,,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000663,Jackfruit,https://www.feedipedia.org/node/27584,2026-08-06,200,https://www.feedipedia.org/node/27584,"Jackfruit (Artocarpus heterophyllus), fruit, fresh | Feedipedia","Jackfruit (Artocarpus heterophyllus), fruit, fresh",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
AOM_000671,Palm Oil,https://www.feedipedia.org/node/15497,2026-08-06,200,https://www.feedipedia.org/node/15497,"Palm oil mill effluent, decanted | Feedipedia","Palm oil mill effluent, decanted",shared_feed_page,2,false,feedipedia_scope_narrower,hold_shared_page_scope_review,,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000673,Sunflower,https://www.feedipedia.org/node/6225,2026-08-06,200,https://www.feedipedia.org/node/6225,Sunflower (general) | Feedipedia,Sunflower (general),feed_page,1,false,lexically_exact,candidate_manual_definition_review,,"Labels align, but source/component/process assertions still require governed review."
AOM_000678,Cassava Starch,https://www.feedipedia.org/node/14602,2026-08-06,200,https://www.feedipedia.org/node/14602,Cassava starch | Feedipedia,Cassava starch,feed_page,1,false,lexically_exact,candidate_manual_definition_review,,"Labels align, but source/component/process assertions still require governed review."
AOM_000680,Sweet Potato,https://www.feedipedia.org/node/12680,2026-08-06,200,https://www.feedipedia.org/node/12680,"Sweet potato tubers, dehydrated | Feedipedia","Sweet potato tubers, dehydrated",feed_page,1,false,feedipedia_scope_narrower,hold_scope_and_facet_review,,"Page wording or scope differs; review source identity, component, process, form, and product type separately."
