concept_id,preferred_label,review_axis,review_role,current_parent_ids,recommended_disposition,proposed_label,proposed_parent_or_axis,recommended_semantic_action,mapping_candidate,evidence_ids,status,blocking_question,rationale,reviewer,review_date
AOM_101146,Feed chemical entities,chemical-identity,identity-root,,retain-and-rename,Feed-related chemical entities,AOM_000328 Feed Characteristic,Keep as identity axis distinct from measured composition and feed-product use; map broadly to ChEBI chemical entity.,CHEBI:24431 broad mapping candidate,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Chemical identity answers what entity is present; composition answers how much is present.,Codex,2026-08-19
AOM_101023,Primary chemical constituents,chemical-identity,constituent-category-grouping,AOM_101146,retain-and-rename,Chemical constituent categories,AOM_101146,Drop role word Primary from grouping; primary role remains supplied by aom:primaryConstituent.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,"Role belongs to relation between material and entity, not intrinsically to target concept.",Codex,2026-08-19
AOM_101147,Chemical substances,chemical-identity,chemical-substance-grouping,AOM_101146,retain-grouping,,AOM_101146,Keep only chemically identified substances or substance groups here; require exact child mappings before implementation.,CHEBI:59999 close or broad mapping candidate,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,proposed,,Chemical substance is narrower than chemical entity but not every mixture or constituent category meets its ChEBI definition.,Codex,2026-08-19
AOM_000746,Chromium Oxide,chemical-identity,chemical-substance-or-group,AOM_101147,retain-identity,,AOM_101147 Chemical substances,Keep in chemical-identity axis; represent feed-material or additive use separately.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,proposed,,Current concept identifies chemical substance or substance group independently of product use.,Codex,2026-08-19
AOM_000809,Essential Fatty Acid,chemical-identity,chemical-entity-category,AOM_101023,retain-reclassify-identity,,Feed-related chemical entities,Keep stable identity under Feed-related chemical entities; correct legacy feed-ingredient definition and review exact ChEBI mapping.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.,Codex,2026-08-19
AOM_001571,Protein,chemical-identity,chemical-entity-category,AOM_101023,retain-reclassify-identity,,Feed-related chemical entities,Keep stable identity under Feed-related chemical entities; correct legacy feed-ingredient definition and review exact ChEBI mapping.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.,Codex,2026-08-19
AOM_001577,Carbohydrate,chemical-identity,chemical-entity-category,AOM_101023,retain-reclassify-identity,,Feed-related chemical entities,Keep stable identity under Feed-related chemical entities; correct legacy feed-ingredient definition and review exact ChEBI mapping.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.,Codex,2026-08-19
AOM_001865,Free Gossypol,chemical-identity,chemical-entity-category,AOM_101023,retain-reclassify-identity,,Feed-related chemical entities,Keep stable identity under Feed-related chemical entities; correct legacy feed-ingredient definition and review exact ChEBI mapping.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.,Codex,2026-08-19
AOM_006389,Organic Acid,chemical-identity,chemical-substance-or-group,AOM_101147,retain-identity,,AOM_101147 Chemical substances,Keep in chemical-identity axis; represent feed-material or additive use separately.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,proposed,,Current concept identifies chemical substance or substance group independently of product use.,Codex,2026-08-19
AOM_101064,Gluten constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
