comparison,side,identifier,recommended_disposition
eragri-data-vs-eragri-dictionary,data-only,Analysis.Function,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,B.Code,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C1,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C10,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C11,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C12,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C13,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C2,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C3,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C4,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C5,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C6,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C7,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C8,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,C9,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,ISO.3166.1.alpha.3,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,Mean.Error.Type,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,MeanC.Error,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,MeanT.Error,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,Mulch.Code,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,Partial.Outcome.Code,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,Rep.Animals,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T1,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T10,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T11,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T12,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T13,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T2,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T3,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T4,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T5,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T6,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T7,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T8,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,T9,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,data-only,Tree.Feed,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,dictionary-only,Analysis.Function ,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,dictionary-only,C1:Cn,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,dictionary-only,ISO.3166-1.alpha-3,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,dictionary-only,Irrig.Meth.T,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
eragri-data-vs-eragri-dictionary,dictionary-only,T1:Tn,Replace literal or pattern drift with generated dictionary entries and explicit aliases.
published-agronomy-schema-vs-eragri-data,package-only,B.Code,Resolve through explicit release compatibility profile; do not assume package snapshot is current release.
published-agronomy-schema-vs-eragri-data,published-only,C14,Resolve through explicit release compatibility profile; do not assume package snapshot is current release.
published-agronomy-schema-vs-eragri-data,published-only,T14,Resolve through explicit release compatibility profile; do not assume package snapshot is current release.
