concept_id,preferred_label,prior_blocker,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_000557,Oyster Shells,source_warning,approve_independent_taxon_with_shell,approved,oyster,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/736,Independent taxon mapping plus explicit shell descriptor establishes material without relying on warned Feedipedia page.
AOM_000558,Shell,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/736,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_000610,Soybean Cake,public_authority_mismatch,approve_authority_source_with_facets,approved,soybean,,Pete Steward,2026-08-06,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462,Public source mappings establish soybean; explicit cake descriptor supplies bounded material form.
AOM_000611,Soybean Full Fat Cake,public_authority_mismatch,approve_authority_source_with_facets,approved,soybean,,Pete Steward,2026-08-06,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462,Public source mappings establish soybean; explicit full-fat cake descriptors supply bounded characteristics.
AOM_000616,Canola Cake,public_authority_mismatch,approve_authority_source_with_facets,approved,canola,,Pete Steward,2026-08-06,2191;http://aims.fao.org/aos/agrovoc/c_16027;http://purl.obolibrary.org/obo/NCBITaxon_3708;wfo-0000571271,Public source mappings establish canola; explicit cake descriptor supplies bounded material form.
AOM_000638,Cassava Shaft,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,01520;http://purl.obolibrary.org/obo/NCBITaxon_3983;wfo-0000235507,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_000664,Ripe Avocado,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,01311;http://aims.fao.org/aos/agrovoc/c_4656;http://aims.fao.org/aos/agrovoc/c_9022;http://purl.obolibrary.org/obo/NCBITaxon_3435;wfo-0000465160,Available authority does not establish complete public material identity; retain explicit hold.
AOM_000672,Palm Oil Crude,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,21651;http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-7000000046,Available authority does not establish complete public material identity; retain explicit hold.
AOM_000676,Vegetable Oil,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_8170,Available authority does not establish complete public material identity; retain explicit hold.
AOM_000748,Asperozym (Fibrolytic Enzymes),external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
