case_id,concept_id,semantic_class,status,reviewer,review_date,evidence,rationale
FEED-TAXONOMY-TYPE-AOM_000737,AOM_000737,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_000738,AOM_000738,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_000739,AOM_000739,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_000740,AOM_000740,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_000746,AOM_000746,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_000808,AOM_000808,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_001069,AOM_001069,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_001377,AOM_001377,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_001433,AOM_001433,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_001571,AOM_001571,aom:ChemicalConstituent,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_001577,AOM_001577,aom:ChemicalConstituent,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
