concept_id,preferred_label,remediation_track,prior_blocker,decision,status,governed_source_identity,replacement_id,component_scope,process_scope,reviewer,review_date,evidence,blocker_code,rationale
AOM_000615,Legume ByProducts,identity_consolidation,category_or_duplicate_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,category_or_duplicate_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_000638,Cassava Shaft,semantic_model,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,Shaft or vein cannot be approximated to an existing anatomical facet; retain raw identity until governed model exists.
AOM_001145,Faidherbia albida,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001149,Gliricidia sepium,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001208,Centrosema pubescens,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001216,Indigofera indica,identity_repair,contradictory_mapping_removed,approve_bounded_workbook_material_scope,approved,Indigofera indica,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001382,Andropogon abyssinica,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Andropogon abyssinica,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001383,Andropogon guianensis,identity_repair,contradictory_species_mapping,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,contradictory_species_mapping,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001389,Digitaria decumbens,identity_repair,contradictory_species_mapping,approve_bounded_workbook_material_scope,approved,Digitaria decumbens,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001476,Lolium multiflorum,identity_repair,contradictory_mapping_removed,approve_bounded_workbook_material_scope,approved,Lolium multiflorum,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001508,Lactobacillus plantarum,semantic_model,hierarchy_correction_required,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,hierarchy_correction_required,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001527,Centrosema molle,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001561,Ulva lactuca,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Ulva lactuca,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001562,Ulva armoricana,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Ulva armoricana,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
