concept_id,preferred_label,remediation_track,semantic_risk,blocker_code,candidate_related_ids,decision_required,evidence_gate,current_next_action,reviewer,review_date,decision,evidence,rationale
AOM_000615,Legume ByProducts,identity_consolidation,critical,category_or_duplicate_review,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit and canonical replacement decision,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.,TBD,,,,
AOM_000638,Cassava Shaft,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets.",TBD,,,,
AOM_001145,Faidherbia albida,identity_consolidation,critical,synonym_replacement_review,AOM_002206;AOM_006371,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_001149,Gliricidia sepium,identity_consolidation,critical,synonym_replacement_review,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_001208,Centrosema pubescens,identity_consolidation,critical,synonym_replacement_review,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_001383,Andropogon guianensis,identity_repair,critical,contradictory_species_mapping,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,accepted taxon evidence plus occurrence audit,Shared page identifies different species; prior assertion-level review excludes contradictory Feedipedia mapping.,TBD,,,,
AOM_001508,Lactobacillus plantarum,semantic_model,critical,hierarchy_correction_required,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved role and corrected hierarchy parent,"Lactobacillus plantarum is a microbial taxon, not a prebiotic; approve taxon identity and probiotic role before definition.",TBD,,,,
AOM_001527,Centrosema molle,identity_consolidation,critical,synonym_replacement_review,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_001797,Gliciridia sepium,identity_consolidation,critical,synonym_replacement_review,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_002206,Acacia Albida,identity_consolidation,critical,synonym_replacement_review,AOM_001145;AOM_006371,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit plus accepted-name authority,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.,TBD,,,,
AOM_003359,Onion Veins,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets.",TBD,,,,
AOM_003858,Groundnut Veins,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets.",TBD,,,,
AOM_003910,Legume Mixtures Weeds,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,Available authority does not establish complete public material identity; retain explicit hold.,TBD,,,,
AOM_003929,Lima Bean Vein,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets.",TBD,,,,
AOM_003930,Soybean Cheese Waste,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,Available authority does not establish complete public material identity; retain explicit hold.,TBD,,,,
AOM_004002,Maize Yellow,identity_repair,critical,contradictory_mapping_removed,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,replacement authority mapping matching exact concept,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.,TBD,,,,
AOM_006160,Brewers By-Product,identity_consolidation,critical,category_or_duplicate_review,AOM_001884,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,occurrence audit and canonical replacement decision,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.,TBD,,,,
AOM_006410,Occicum gatissimum,semantic_model,high,unmodelled_derived_material_descriptor,,retain_hold | approve_bounded_definition | deprecate_with_replacement | correct_identity | add_facet_then_approve,approved facet or explicit new concept model,Available authority does not establish complete public material identity; retain explicit hold.,TBD,,,,
