concept_id,preferred_label,current_scope,preliminary_disposition,recommended_product_kind,recommended_navigation_target,recommended_relations,evidence_ids,status,blocking_question,rationale,reviewer,review_date
AOM_100850,Feed materials,product-kind-root,retain,aom:FeedMaterial,Feed,aom:sourceTaxon;aom:productRole;aom:processingMethod;aom:primaryConstituent,EU-767-2009;EU-2011-25,approved,,Retain feed materials as one product kind beneath broad Feed and keep source role process and composition independent.,Pete Steward,2026-08-13
AOM_101135,Feed additives,product-kind-root,retain-sibling,aom:FeedAdditive,Feed,aom:functionalRole,EU-1831-2003;EU-2011-25;EU-2021-758,approved,,Feed additives are legally distinct from feed materials and should remain a sibling product kind rather than a subtype.,Pete Steward,2026-08-13
AOM_101146,Feed chemical entities,chemical-axis-root,hold-for-cohort-d,none,Independent chemical identity axis,proposed aom:chemicalIdentity,EU-2011-25;LOCAL-GRAPH,held,Does this duplicate AOM_000196 Chemical Composition?,Cohort A only establishes that chemical identity must remain independent of product kind; Cohort D must decide reuse merge or retirement.,Pete Steward,2026-08-13
AOM_101147,Feed chemical substances,chemical-axis-branch,retain-axis-and-rename,none,Chemical substances,proposed aom:chemicalIdentity,EU-2011-25;EU-2021-758,approved,Should AOM_101146 be retained or replaced by an existing chemical root?,Do not move beneath Feed materials or Feed additives. Rename to remove product-kind implication and connect exact products to chemical identity explicitly.,Pete Steward,2026-08-13
AOM_000559,Animal,direct-feed-material-child,rename-and-restructure,aom:FeedMaterial,Feeds of animal origin,aom:sourceTaxon,FEEDIPEDIA-CATEGORIES;LOCAL-GRAPH,approved,,Animal is misleading as a feed-material label; use an editorial animal-origin grouping while source taxa remain explicit.,Pete Steward,2026-08-13
AOM_100976,Animal by-products,direct-feed-material-child,retain-materials-remove-role-parentage,aom:FeedMaterial,Feeds of animal origin,aom:productRole=AOM_101062,FEEDIPEDIA-CATEGORIES;LOCAL-GRAPH,approved,,Animal origin may support navigation but by-product status belongs on each material card through product role.,Pete Steward,2026-08-13
AOM_000561,Animal Manures,direct-feed-material-child,hold-product-kind,hold,Unclassified or non-feed review,aom:sourceTaxon,EU-767-2009;LOCAL-GRAPH,held,Are these materials intentionally used for oral animal feeding in represented records?,Current branch label does not establish feed-material eligibility and should not inherit FeedMaterial without use evidence.,Pete Steward,2026-08-13
AOM_001916,Crop Byproduct,direct-feed-material-child,merge-navigation-and-externalize-role,aom:FeedMaterial,Plant products/by-products,aom:sourceTaxon;aom:productRole,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;LOCAL-GRAPH,approved,,Replace separate crop-by-product top branch with Feedipedia-aligned plant-product navigation and explicit by-product roles.,Pete Steward,2026-08-13
AOM_100921,Crop product,direct-feed-material-child,merge-navigation,aom:FeedMaterial,Plant products/by-products,aom:sourceTaxon;aom:productRole,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;LOCAL-GRAPH,approved,,Crop product and Crop Byproduct divide one plant-product browsing axis by role; use one navigation collection and show role on cards.,Pete Steward,2026-08-13
AOM_000735,Forage Plants,direct-feed-material-child,rename-and-retain-overlapping-navigation,aom:FeedMaterial,Forage materials,aom:sourceTaxon;proposed aom:feedUse,FEEDIPEDIA-CATEGORIES;AGROVOC-CROPS;AGROVOC-FEED-CROPS;AGROVOC-FORAGE,approved,,Forage can derive from crops and is not a disjoint plant class. Rename to material scope and permit overlap with plant-product source navigation.,Pete Steward,2026-08-13
AOM_001866,Glycerol,direct-feed-material-child,temporary-unclassified-placement,aom:FeedMaterial,Unclassified feed materials,proposed aom:chemicalIdentity,EU-2022-1104;EU-2011-25,approved,Does AOM Glycerol mean crude glycerine refined glycerine or chemical glycerol?,Catalogue evidence supports feed-material status but exact scope and durable source branch need confirmation; temporary unclassified placement is safer than a permanent direct child.,Pete Steward,2026-08-13
AOM_000531,Ingredient name,direct-feed-material-child,out-of-scope-cohort-b,none,None,aom:ingredientName,LOCAL-GRAPH,held,Does any active browse concept remain necessary after property migration?,This is a schema-property issue assigned to #53 and must not be treated as a feed material.,Pete Steward,2026-08-13
AOM_000532,Ingredient part,direct-feed-material-child,out-of-scope-cohort-b,none,None,aom:materialComponent,LOCAL-GRAPH,held,Does any active browse concept remain necessary after property migration?,This is a schema-property issue assigned to #53 and must not be treated as a feed material.,Pete Steward,2026-08-13
AOM_000534,Ingredient proportion,direct-feed-material-child,out-of-scope-cohort-b,none,None,aom:ingredientProportion,LOCAL-GRAPH,held,Does any active browse concept remain necessary after property migration?,This is a schema-property issue assigned to #53 and must not be treated as a feed material.,Pete Steward,2026-08-13
AOM_000535,Ingredient source,direct-feed-material-child,out-of-scope-cohort-b,none,None,aom:ingredientSource,LOCAL-GRAPH,held,Does any active browse concept remain necessary after property migration?,This is a schema-property issue assigned to #53 and must not be treated as a feed material.,Pete Steward,2026-08-13
