authority,authority_url,supports,does_not_support,use_in_review,evidence_id,access_date
W3C SKOS Reference,https://www.w3.org/TR/skos-reference/,"Concept schemes, labels, notations, semantic relations, mappings, and labeled or ordered collections.","Workbook reporting levels as automatic broader meaning, field schemas, or observation procedure semantics.",Treat source navigation as collections unless inherent semantic hierarchy is reviewed.,E-SKOS,2026-08-24
W3C SOSA/SSN 2023,https://www.w3.org/TR/vocab-ssn-2023/,"Observations, sosa:Property, features of interest, procedures, results, and observation context.","ERA reporting pillars, economic-accounting classification, or row identity by itself.","Represent outcome variables as property specifications bound to procedure, result, and feature context.",E-SOSA,2026-08-24
Crop Ontology,https://cropontology.org/about,"Crop phenotypic variables decomposed into trait, method, and scale.","All management, livestock, social, energy, and economic outcome identities.",Use trait-method-scale pattern where crop phenotype variables fit its scope.,E-CROP-ONTOLOGY,2026-08-24
AgrO,https://github.com/AgriculturalSemantics/agro,"Agronomic practices, techniques, experimental variables, and reuse of OBO authorities.",Identity equivalence from exact label alone or ERA-specific reporting and economic rows.,"Generate external candidate matches only; require definition, scope, and entity-type review.",E-AUTH-AGRO-SNAPSHOT,2026-08-24
FAO AGROVOC,https://agrovoc.fao.org/,Broad multilingual agricultural terminology and external lexical or broad mapping candidates.,"ERA source-row identity, experiment roles, variable derivations, or automatic hierarchy adoption.",Use in later row-level external mapping review after internal identities stabilize.,E-AGROVOC,2026-08-24
FoodOn transformation process facet,https://foodon.org/food-facets/food-transformation-process/,Processes transforming food source or product into derived material and process-output relations.,"Field management, experimental comparator roles, or economic variables.",Constrain postharvest and food-processing mappings without forcing field practices into FoodOn.,E-FOODON,2026-08-24
QUDT,https://www.qudt.org/catalog/qudt-catalog.html,"Quantity kinds, units, dimensions, and quantity values.","Agricultural variable identity, procedure, reporting hierarchy, or interpretation direction.","Bind reviewed outcome and economic measures to quantity kinds, units, and denominator bases.",E-QUDT,2026-08-24
EU Farm Sustainability Data Network,https://agriculture.ec.europa.eu/data-and-analysis/farm-structures-and-economics/fsdn_en,"Harmonized farm bookkeeping and microeconomic outputs, costs, inputs, and assets.",Ontology identity for each ERA economic variable or experimental outcome semantics.,Reference farm-accounting scope and cost classification boundaries.,E-FSDN,2026-08-24
FAO SEEA Agriculture Forestry and Fisheries,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/Publications/Agrienvironmental/SEEA_AFF_FINAL_Clean_03.pdf,"Output, intermediate consumption, fixed-capital formation, inventories, and income-account boundaries.",Study-level variable identity or direct SKOS parentage for ERA rows.,Check accounting-category boundaries and asset-versus-expense context.,E-SEEA-AFF,2026-08-24
UN System of National Accounts,https://unstats.un.org/unsd/Nationalaccount/sna.asp,International economic-accounting concepts and category boundaries.,Farm-trial variable granularity or agricultural semantic identity.,Secondary boundary check only; prefer farm-level sources for detailed modeling.,E-SNA,2026-08-24
