concept_id,preferred_label,hierarchy_action,mapping_action,mapping_target,status,reviewer,implementation_date,evidence_ids,rationale
AOM_101046,Bark,moved-under-AOM_101180,published-exactMatch,PO_0004518,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101024,Bulb,moved-under-AOM_101180,published-exactMatch,PO_0025356,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101025,Cladode,moved-under-AOM_101180,published-exactMatch,PO_0025354,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101026,Cob,moved-under-AOM_101180,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101027,Corm,moved-under-AOM_101180,published-exactMatch,PO_0025355,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101153,Endosperm,moved-under-AOM_101180,published-exactMatch,PO_0009089,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY;PO-ENDOSPERM,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101117,Flower,moved-under-AOM_101180,published-exactMatch,PO_0009046,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101028,Fruit,moved-under-AOM_101180,published-exactMatch,PO_0009001,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101029,Plant embryo,moved-under-AOM_101180,published-relatedMatch,PO_0009009,approved,Pete Steward,2026-08-20,PO-EMBRYO;EU-FEED-CATALOGUE;FOODON-PINNED,Pinned authority definition reviewed against governed AOM definition; relatedMatch scope accepted under ADR 0048.
AOM_101074,Grain,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101030,Hull,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101031,Husk,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101032,Kernel,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101033,Leaf,moved-under-AOM_101180,published-exactMatch,PO_0025034,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101122,Liver,moved-under-AOM_101181,published-exactMatch,UBERON_0002107,approved,Pete Steward,2026-08-20,UBERON,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101034,Peel,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101048,Plant top,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101035,Pod,moved-under-AOM_101180,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101036,Pseudostem,moved-under-AOM_101180,published-exactMatch,PO_0025248,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101121,Rhizome,moved-under-AOM_101180,published-exactMatch,PO_0004542,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101037,Root,moved-under-AOM_101180,published-exactMatch,PO_0009005,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101038,Seed,moved-under-AOM_101180,published-exactMatch,PO_0009010,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101039,Sheath,moved-under-AOM_101180,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101040,Shell component,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;UBERON,"Shell can denote plant covering, animal shell, or processed material; one unqualified anatomy value is unsafe."
AOM_101041,Sprout,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101042,Stalk,moved-under-AOM_101180,published-exactMatch,PO_0025066,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101047,Stem,moved-under-AOM_101180,published-exactMatch,PO_0009047,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101043,Tuber,moved-under-AOM_101180,published-exactMatch,PO_0025522,approved,Pete Steward,2026-08-20,PLANT-ONTOLOGY,Pinned authority definition reviewed against governed AOM definition; exactMatch scope accepted under ADR 0048.
AOM_101045,Twig,moved-under-AOM_101180,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101107,Vine,moved-under-AOM_101180,mapping-held,,held,Pete Steward,2026-08-20,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.
AOM_101044,Viscera,retained-under-AOM_101019-hold,mapping-held,,held,Pete Steward,2026-08-20,UBERON,Current plural collective descriptor may be broader than singular Uberon viscus.
