review_id,recommended_decision,final_decision,conditions_or_holds,reviewer,review_date,approval_status
GR-01,accept,accepted,"Route approved identities row by row; retain energy and cookstove module hold.",P. Steward,2026-08-28,accepted
GR-02,accept-with-revision,accepted-with-revision,"Preserve lexical codes; govern 58 pilot notation mutations and 65 placeholder economic identifiers.",P. Steward,2026-08-28,accepted
GR-03,accept-with-revision,accepted-with-revision,"Use collections by default and scoped collection labels for same-label navigation/member pairs.",P. Steward,2026-08-28,accepted
GR-04,accept-with-conditions,accepted-with-conditions,"Reuse stable AOM IDs only after compatible identity, entity type, lifecycle, module, label, and definition review.",P. Steward,2026-08-28,accepted
GR-05,accept,accepted,"Separate practice identity, application, condition or baseline, and experimental role.",P. Steward,2026-08-28,accepted
GR-06,accept,accepted,"Use sosa:Property with explicit feature, procedure, quantity, unit or basis, and derivation where applicable.",P. Steward,2026-08-28,accepted
GR-07,accept-policy-with-holds,accepted-policy-with-holds,"Convert 43 editorial nodes to collections, collapse 13 duplicate parent/leaf nodes, and hold 53 practice groups for extensional review.",P. Steward,2026-08-28,accepted
GR-08,revise-and-decompose,accepted-revise-and-decompose,"Model Urea and Ash application practices, heat-tolerant crop-variety use, and field-scoped Unspecified missing information.",P. Steward,2026-08-28,accepted
GR-09,accept-source-correction-gate,accepted-source-correction-gate,"Approve seven economic corrections; retain Nutrient/Soil management on source-clarification hold.",P. Steward,2026-08-28,accepted
GR-10,accept,accepted,"Keep fixed or variable accounting classification contextual unless evidence proves it intrinsic.",P. Steward,2026-08-28,accepted
GR-11,accept-individual-review,accepted-dispositions,"Approve four AgrO close matches for later implementation; hold Monoculture and Controlled Grazing; reject 20 other identity mappings while retaining facet evidence.",P. Steward,2026-08-28,accepted
GR-12,hold-module-boundary,accepted-module-hold,"Keep all 14 energy and cookstove rows outside core, crop, and livestock pending separate energy architecture.",P. Steward,2026-08-28,accepted
