source_value,normalized_value,proposed_facet,secondary_facets,disposition,confidence,rationale,status,reviewer,review_date,evidence
Ash,ash,chemical_constituent,,review_single,medium,Names a chemical fraction; confirm field means constituent rather than measured ash content.,proposed-for-review,,,aggregate-only-livestock-profile
Bean Cake,bean cake,composite_descriptor,physical_form;product_role,decompose,high,Combines material identity with processed cake form and likely by-product role.,proposed-for-review,,,aggregate-only-livestock-profile
Bean Shell,bean shell,composite_descriptor,anatomical_part,decompose,high,Combines source material qualifier with anatomical shell.,proposed-for-review,,,aggregate-only-livestock-profile
Beans,beans,anatomical_part,,review_single,low,May denote whole seeds or material identity rather than a component facet.,proposed-for-review,,,aggregate-only-livestock-profile
Binder,binder,product_role,,review_single,medium,Describes functional role in feed rather than anatomy.,proposed-for-review,,,aggregate-only-livestock-profile
Block,block,physical_form,,review_single,high,Describes physical presentation of feed.,proposed-for-review,,,aggregate-only-livestock-profile
Bran,bran,composite_descriptor,processing_method;product_role,decompose,medium,Names milling-derived material and usually a by-product role.,proposed-for-review,,,aggregate-only-livestock-profile
Brewers Grain,brewers grain,composite_descriptor,processing_method;product_role,decompose,high,Names brewing-derived material with by-product role; existing AOM identities are ambiguous.,proposed-for-review,,,aggregate-only-livestock-profile
Bulb,bulb,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Cake,cake,composite_descriptor,physical_form;processing_method;product_role,decompose,medium,Usually names pressed extraction residue and its physical form.,proposed-for-review,,,aggregate-only-livestock-profile
Cladode,cladode,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Cob,cob,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Corm,corm,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Discards,discards,product_role,,review_single,high,Describes rejected or secondary material role.,proposed-for-review,,,aggregate-only-livestock-profile
Flakes Defatted,flakes defatted,composite_descriptor,physical_form;processing_method,decompose,high,Combines flake form with fat-removal processing.,proposed-for-review,,,aggregate-only-livestock-profile
Fruits,fruits,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Full Fat,full fat,chemical_constituent,,review_single,low,Describes compositional state rather than a discrete constituent; definition needed.,proposed-for-review,,,aggregate-only-livestock-profile
Full Fat Cake,full fat cake,composite_descriptor,chemical_constituent;physical_form;processing_method,decompose,high,Combines compositional state with processed cake descriptor.,proposed-for-review,,,aggregate-only-livestock-profile
Germ,germ,anatomical_part,,review_single,high,Names embryonic part of seed or grain.,proposed-for-review,,,aggregate-only-livestock-profile
Gluten,gluten,chemical_constituent,,review_single,high,Names a protein fraction.,proposed-for-review,,,aggregate-only-livestock-profile
Grain,grain,anatomical_part,,review_single,medium,Common feed-part term broadly denoting harvested seed or fruit; scope review needed.,proposed-for-review,,,aggregate-only-livestock-profile
Hash,hash,composite_descriptor,physical_form;product_role,decompose,medium,Private contextual audit identifies potato hash; published evidence defines it as a mixed potato-processing by-product.,proposed-for-review,,,aggregate-only-livestock-profile;review/livestock-v3/INGREDIENT_FACET_CLOSURE.md
Haulm,haulm,composite_descriptor,anatomical_part;product_role,decompose,medium,Collective stems and leaves used as crop residue rather than one anatomical part.,proposed-for-review,,,aggregate-only-livestock-profile
Hay,hay,composite_descriptor,physical_form;processing_method,decompose,high,Names preserved dried forage rather than anatomy.,proposed-for-review,,,aggregate-only-livestock-profile
Heads,heads,anatomical_part,,review_single,medium,Names plant reproductive head; source organism context needed.,proposed-for-review,,,aggregate-only-livestock-profile
Hull,hull,anatomical_part,,review_single,high,Names an outer anatomical covering.,proposed-for-review,,,aggregate-only-livestock-profile
Husk,husk,anatomical_part,,review_single,high,Names an outer anatomical covering.,proposed-for-review,,,aggregate-only-livestock-profile
Hydrolysate,hydrolysate,composite_descriptor,processing_method,decompose,medium,Names product resulting from hydrolysis and implies processing method.,proposed-for-review,,,aggregate-only-livestock-profile
Juice,juice,composite_descriptor,physical_form;processing_method,decompose,medium,Names extracted liquid material and implies extraction.,proposed-for-review,,,aggregate-only-livestock-profile
Kernel,kernel,anatomical_part,,review_single,high,Names a seed or grain anatomical part.,proposed-for-review,,,aggregate-only-livestock-profile
Kernel Cake,kernel cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,Combines kernel anatomy with processed cake form.,proposed-for-review,,,aggregate-only-livestock-profile
Leaves,leaves,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Leaves and Soft Twig,leaves and soft twig,composite_descriptor,anatomical_part,decompose,high,Combines multiple anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Leaves and Twigs,leaves and twigs,composite_descriptor,anatomical_part,decompose,high,Combines multiple anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Leaves Cake,leaves cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,Combines leaf anatomy with processed cake form.,proposed-for-review,,,aggregate-only-livestock-profile
Leaves Extract,leaves extract,composite_descriptor,anatomical_part;processing_method,decompose,high,Combines leaf anatomy with extracted product.,proposed-for-review,,,aggregate-only-livestock-profile
Lick,lick,physical_form,,review_single,high,Describes feed presentation or delivery form.,proposed-for-review,,,aggregate-only-livestock-profile
Litter,litter,product_role,,review_single,medium,Usually denotes residual bedding or poultry material; context needed.,proposed-for-review,,,aggregate-only-livestock-profile
Manure,manure,product_role,,review_single,medium,Describes waste or secondary material role rather than anatomy.,proposed-for-review,,,aggregate-only-livestock-profile
Market Waste,market waste,product_role,,review_single,high,Explicitly identifies waste role and provenance context.,proposed-for-review,,,aggregate-only-livestock-profile
Meal,meal,physical_form,,review_single,medium,Describes comminuted feed form though processing may also be implied.,proposed-for-review,,,aggregate-only-livestock-profile
Mix,mix,physical_form,,review_single,medium,Describes composite presentation rather than biological part.,proposed-for-review,,,aggregate-only-livestock-profile
Molasses,molasses,composite_descriptor,processing_method;product_role,decompose,medium,Names sugar-processing product commonly functioning as a by-product.,proposed-for-review,,,aggregate-only-livestock-profile
Offal,offal,product_role,,review_single,high,Describes animal-processing by-product role.,proposed-for-review,,,aggregate-only-livestock-profile
Oil,oil,chemical_constituent,,review_single,medium,Names lipid fraction but may instead identify processed feed material.,proposed-for-review,,,aggregate-only-livestock-profile
Oil Crude,oil crude,composite_descriptor,chemical_constituent;processing_method,decompose,high,Combines lipid material with processing grade or state.,proposed-for-review,,,aggregate-only-livestock-profile
Peel,peel,anatomical_part,,review_single,high,Names an outer plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Peel Essential Oil,peel essential oil,composite_descriptor,anatomical_part;chemical_constituent;processing_method,decompose,high,Combines source anatomy with extracted chemical fraction.,proposed-for-review,,,aggregate-only-livestock-profile
Peels,peels,anatomical_part,,review_single,high,Names outer plant anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Pods,pods,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Pods Husk,pods husk,composite_descriptor,anatomical_part,decompose,medium,Combines or ambiguously nests two anatomical covering terms.,proposed-for-review,,,aggregate-only-livestock-profile
Powder,powder,physical_form,,review_single,high,Describes physical presentation of material.,proposed-for-review,,,aggregate-only-livestock-profile
Processing Waste,processing waste,product_role,,review_single,high,Explicitly identifies waste role from processing.,proposed-for-review,,,aggregate-only-livestock-profile
Pseudo-stem,pseudo-stem,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Pulp,pulp,composite_descriptor,physical_form;processing_method;product_role,decompose,medium,May describe soft material form or processing residue; context needed.,proposed-for-review,,,aggregate-only-livestock-profile
Residue,residue,product_role,,review_single,high,Describes residual or secondary material role.,proposed-for-review,,,aggregate-only-livestock-profile
Root,root,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Root Bark,root bark,composite_descriptor,anatomical_part,decompose,high,Combines nested anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Seed,seed,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Seed Cake,seed cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,Combines seed anatomy with processed cake form.,proposed-for-review,,,aggregate-only-livestock-profile
Seed Hull,seed hull,composite_descriptor,anatomical_part,decompose,high,Combines nested anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Seed Kernel,seed kernel,composite_descriptor,anatomical_part,decompose,medium,Combines nested or partly synonymous seed structures.,proposed-for-review,,,aggregate-only-livestock-profile
Seeds,seeds,anatomical_part,,review_single,high,Names plant anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Shaft,shaft,unresolved_descriptor,,hold,low,Meaning may be typo or domain-specific usage; source evidence required.,proposed-for-review,,,aggregate-only-livestock-profile
Sheath,sheath,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Shell,shell,anatomical_part,,review_single,medium,Names outer biological covering; plant or animal context must be retained.,proposed-for-review,,,aggregate-only-livestock-profile
Shells,shells,anatomical_part,,review_single,medium,Names outer biological coverings; plant or animal context must be retained.,proposed-for-review,,,aggregate-only-livestock-profile
Shorts,shorts,product_role,,review_single,high,Names milling by-product material.,proposed-for-review,,,aggregate-only-livestock-profile
Sludge,sludge,product_role,,review_single,medium,Usually denotes processing residue or waste role.,proposed-for-review,,,aggregate-only-livestock-profile
Sprout,sprout,anatomical_part,,review_single,high,Names a developing plant structure.,proposed-for-review,,,aggregate-only-livestock-profile
Stalk,stalk,anatomical_part,,review_single,high,Names a plant anatomical structure.,proposed-for-review,,,aggregate-only-livestock-profile
Stalks,stalks,anatomical_part,,review_single,high,Names plant anatomical structures.,proposed-for-review,,,aggregate-only-livestock-profile
Starch,starch,chemical_constituent,,review_single,high,Names a carbohydrate constituent.,proposed-for-review,,,aggregate-only-livestock-profile
Stover,stover,composite_descriptor,anatomical_part;product_role,decompose,high,Collective above-ground crop parts used as residue or by-product.,proposed-for-review,,,aggregate-only-livestock-profile
Straw,straw,composite_descriptor,anatomical_part;processing_method;product_role,decompose,medium,Names dried cereal stems with residue role rather than one simple part.,proposed-for-review,,,aggregate-only-livestock-profile
Threshed Top,threshed top,composite_descriptor,anatomical_part;processing_method,decompose,high,Combines plant top with threshing process.,proposed-for-review,,,aggregate-only-livestock-profile
